date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,2299031,-533401,-9595,1756035
2026-01-29,751252,-45981,1013683,1718954
2026-01-30,2504664,-175212,61941,2391393
2026-02-02,-2661739,228737,923965,-1509037
2026-02-03,3518180,-3153223,22029,386986
2026-02-04,640444,-571640,19277,88081
2026-02-05,-972230,-226772,-103939,-1302941
2026-02-06,5024980,643358,-238861,5429477
2026-02-09,5886930,-71000,223558,6039488
2026-02-10,6700848,-74273,71087,6697662
2026-02-11,5350852,42000,45470,5438322
2026-02-23,2181054,-247968,-38307,1894779
2026-02-24,1832323,65772,112000,2010095
2026-02-25,21520425,-9427,785963,22296961
2026-02-26,-2562988,33669,-303891,-2833210
2026-03-02,27139029,483385,389297,28011711
2026-03-03,2877055,204234,234548,3315837
2026-03-04,-9790739,156846,-281265,-9915158
2026-03-05,-1630398,167421,-19758,-1482735
2026-03-06,-2373130,-100245,-2531,-2475906
2026-03-09,-5044810,570060,-172722,-4647472
2026-03-10,-2159990,-60415,385555,-1834850
2026-03-11,5802361,-30848,466991,6238504
2026-03-12,-1754554,351381,-119411,-1522584
2026-03-13,-253088,382727,-48503,81136
2026-03-16,1149665,-219405,67904,998164
2026-03-17,442366,-336254,84325,190437
2026-03-18,4997462,-5325,202574,5194711
2026-03-19,-2968288,3000,17390,-2947898
2026-03-20,462673,-441857,-10932,9884
2026-03-23,-866452,5589,-151985,-1012848
2026-03-24,2203132,-157000,-15588,2030544
2026-03-25,705695,-248265,73140,530570
2026-03-26,4300313,-167145,143366,4276534
2026-03-27,305762,67236,41733,414731
