date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,-1505271,-871000,-34000,-2410271
2026-01-29,5549386,-2214999,-40000,3294387
2026-01-30,-1339062,41000,-3000,-1301062
2026-02-02,1569954,7000,11843,1588797
2026-02-03,-2674078,52000,16147,-2605931
2026-02-04,-240206,-683000,28000,-895206
2026-02-05,2429599,-2044002,15000,400597
2026-02-06,2981132,-1621000,-9000,1351132
2026-02-09,-916910,-696000,-11000,-1623910
2026-02-10,-201372,-106000,1000,-306372
2026-02-11,801538,28000,27000,856538
2026-02-23,-718317,12000,17000,-689317
2026-02-24,-158788,-32000,15000,-175788
2026-02-25,-53071,-301000,33000,-321071
2026-02-26,259703,159000,-7000,411703
2026-03-02,-86006,198000,-31712,80282
2026-03-03,280603,9000,-76000,213603
2026-03-04,989874,-356000,-34000,599874
2026-03-05,180168,6000,-3000,183168
2026-03-06,269071,-585000,5000,-310929
2026-03-09,676904,-143000,-50000,483904
2026-03-10,-291622,-9000,6000,-294622
2026-03-11,-823053,166000,19000,-638053
2026-03-12,577861,141000,-17000,701861
2026-03-13,1130405,200000,-23447,1306958
2026-03-16,-3112607,-149000,47000,-3214607
2026-03-17,811312,-12000,-11000,788312
2026-03-18,1473173,3000,-22000,1454173
2026-03-19,-1207626,164000,5000,-1038626
2026-03-20,1752113,2285,10000,1764398
2026-03-23,270259,32000,-27000,275259
2026-03-24,881348,47000,29000,957348
2026-03-25,713666,112885,59000,885551
2026-03-26,670991,63890,-36000,698881
2026-03-27,-676430,129710,-2000,-548720
