date,main_net
2025-12-24,-155222164.0
2025-12-25,44353744.0
2025-12-26,241228800.0
2025-12-29,177092112.0
2025-12-30,231319808.0
2025-12-31,-35701360.0
2026-01-05,-145489936.0
2026-01-06,207117312.0
2026-01-07,-117346368.0
2026-01-08,-546071136.0
2026-01-09,-550513264.0
2026-01-12,-973408384.0
2026-01-13,-607597680.0
2026-01-14,-1713213264.0
2026-01-15,-130743248.0
2026-01-16,-269655360.0
2026-01-19,-407469024.0
2026-01-20,142002848.0
2026-01-21,-105688672.0
2026-01-22,-698173520.0
2026-01-23,-964277152.0
2026-01-26,-388194832.0
2026-01-27,659051696.0
2026-01-28,-423888992.0
2026-01-29,544020688.0
2026-01-30,-262509840.0
2026-02-02,-39511472.0
2026-02-03,-204259840.0
2026-02-04,642169904.0
2026-02-05,554257280.0
2026-02-06,177625600.0
2026-02-09,-96856512.0
2026-02-10,-118318608.0
2026-02-11,-217532192.0
2026-02-12,-192610704.0
2026-02-13,-111276416.0
2026-02-24,-95681328.0
2026-02-25,-108397728.0
2026-02-26,155871792.0
2026-02-27,103059904.0
2026-03-02,-8187616.0
2026-03-03,385021296.0
2026-03-04,-378000304.0
2026-03-05,162569744.0
2026-03-06,172388912.0
2026-03-09,-286766512.0
2026-03-10,100944672.0
2026-03-11,200926960.0
2026-03-12,66031136.0
2026-03-13,457861504.0
2026-03-16,104465616.0
2026-03-17,-8428608.0
2026-03-18,-57991728.0
2026-03-19,-24626400.0
2026-03-20,-52777536.0
2026-03-23,-503608288.0
2026-03-24,65207168.0
2026-03-25,-19685488.0
2026-03-26,-234266720.0
2026-03-27,127068480.0
