date,main_net
2025-12-24,31938818.0
2025-12-25,-1229368.0
2025-12-26,62086993.0
2025-12-29,124683056.0
2025-12-30,164339979.0
2025-12-31,162924424.0
2026-01-05,88875050.0
2026-01-06,4062238.0
2026-01-07,-82095600.0
2026-01-08,-17293277.0
2026-01-09,-30287823.0
2026-01-12,37427961.0
2026-01-13,-4690740.0
2026-01-14,-307668424.0
2026-01-15,13959862.0
2026-01-16,88915897.0
2026-01-19,143193960.0
2026-01-20,-53164333.0
2026-01-21,-26219095.0
2026-01-22,-146146324.0
2026-01-23,80066992.0
2026-01-26,-137935575.0
2026-01-27,48598015.0
2026-01-28,-11560051.0
2026-01-29,-136521824.0
2026-01-30,53269199.0
2026-02-02,41885832.0
2026-02-03,-2021968.0
2026-02-04,89598980.0
2026-02-05,72271691.0
2026-02-06,-28843394.0
2026-02-09,20282136.0
2026-02-10,-27097004.0
2026-02-11,-20165819.0
2026-02-12,13575424.0
2026-02-13,-69077378.0
2026-02-24,899116.0
2026-02-25,-221901379.0
2026-02-26,-77625005.0
2026-02-27,-12932630.0
2026-03-02,-9703482.0
2026-03-03,-27235890.0
2026-03-04,177814590.0
2026-03-05,30530679.0
2026-03-06,72503247.0
2026-03-09,53249648.0
2026-03-10,49755671.0
2026-03-11,-25437950.0
2026-03-12,3060412.0
2026-03-13,112800883.0
2026-03-16,92271642.0
2026-03-17,129370523.0
2026-03-18,63539880.0
2026-03-19,37605970.0
2026-03-20,99508980.0
2026-03-23,-95970938.0
2026-03-24,-48019401.0
2026-03-25,7553172.0
2026-03-26,-11556555.0
2026-03-27,13904393.0
