date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,-480796,-411924,-186,-892906
2026-01-29,1426430,-1050000,2799,379229
2026-01-30,-292972,-1061000,30607,-1323365
2026-02-02,-1617491,-23000,34058,-1606433
2026-02-03,969326,-54196,-22000,893130
2026-02-04,-711737,-233000,13000,-931737
2026-02-05,2692050,-222087,-28000,2441963
2026-02-06,400500,4754,-66000,339254
2026-02-09,4382257,-72000,2000,4312257
2026-02-10,3813311,-812924,20000,3020387
2026-02-11,2199994,-950000,326532,1576526
2026-02-23,7462731,-1755847,6959,5713843
2026-02-24,-862566,-260924,73831,-1049659
2026-02-25,3335547,-1283847,-5016,2046684
2026-02-26,-865072,-2243063,88570,-3019565
2026-03-02,-6364244,-697139,71653,-6989730
2026-03-03,-3433298,-415000,115770,-3732528
2026-03-04,-10374778,-104000,-467473,-10946251
2026-03-05,-6191411,-98000,-54518,-6343929
2026-03-06,-2762443,-211000,210382,-2763061
2026-03-09,-1709428,0,-417546,-2126974
2026-03-10,-3426422,0,33484,-3392938
2026-03-11,-1060939,-8872,-8343,-1078154
2026-03-12,-1452055,70128,-89531,-1471458
2026-03-13,1323420,-31000,-68527,1223893
2026-03-16,-1132804,-451976,-31571,-1616351
2026-03-17,-96725,-56000,51968,-100757
2026-03-18,1225292,-141872,118000,1201420
2026-03-19,-448017,-98000,0,-546017
2026-03-20,-1128444,-394001,-38100,-1560545
2026-03-23,109054,-229000,-174000,-293946
2026-03-24,-48620,-1000,24970,-24650
2026-03-25,611610,-9000,83087,685697
2026-03-26,1240383,-18000,4000,1226383
2026-03-27,64409,-3000,-9000,52409
