date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,-318486,-196000,-21900,-536386
2026-01-29,499957,32501,-60158,472300
2026-01-30,-787020,320441,29881,-436698
2026-02-02,-86091,291976,-42516,163369
2026-02-03,-483956,372363,-86600,-198193
2026-02-04,-1285387,-51479,-31460,-1368326
2026-02-05,733863,-41358,-52429,640076
2026-02-06,-112028,15066,-24204,-121166
2026-02-09,-186357,143441,-30200,-73116
2026-02-10,404990,-49000,11061,367051
2026-02-11,63349,-91001,402,-27250
2026-02-23,359017,-348177,-56929,-46089
2026-02-24,203356,-61783,38555,180128
2026-02-25,314515,7000,45600,367115
2026-02-26,897825,517508,5325,1420658
2026-03-02,-385295,69000,-15821,-332116
2026-03-03,-237969,-51000,-23900,-312869
2026-03-04,416419,-45170,-82194,289055
2026-03-05,-4209,-23000,-22338,-49547
2026-03-06,82403,-71000,3000,14403
2026-03-09,-40103,-53000,-59092,-152195
2026-03-10,93409,-16000,-25176,52233
2026-03-11,91192,-125000,50624,16816
2026-03-12,204417,-240000,4028,-31555
2026-03-13,233530,-196210,-18800,18520
2026-03-16,-41909,-209049,-4047,-255005
2026-03-17,74169,24000,-2490,95679
2026-03-18,405217,89000,50777,544994
2026-03-19,-451102,1045503,38400,632801
2026-03-20,99123,541375,-61567,578931
2026-03-23,112791,169368,-39760,242399
2026-03-24,-60140,112037,200,52097
2026-03-25,-370073,119164,21000,-229909
2026-03-26,377142,-318859,57800,116083
2026-03-27,-157235,9136,20100,-127999
