date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,-845921,92000,9991,-743930
2026-01-29,2009739,-622000,9954,1397693
2026-01-30,-174960,-288000,119462,-343498
2026-02-02,1141858,-884036,58334,316156
2026-02-03,1374240,-1060992,86158,399406
2026-02-04,46077,-622000,119421,-456502
2026-02-05,741995,102168,50177,894340
2026-02-06,2816683,608115,-71000,3353798
2026-02-09,791786,-205000,14975,601761
2026-02-10,2242397,-579000,61993,1725390
2026-02-11,845181,-567000,131297,409478
2026-02-23,6013382,-690000,140834,5464216
2026-02-24,3799038,-428039,33000,3403999
2026-02-25,4428831,-1496000,142000,3074831
2026-02-26,648263,-1621136,32593,-940280
2026-03-02,1055348,89000,115676,1260024
2026-03-03,1444588,304000,985,1749573
2026-03-04,657750,101000,-97830,660920
2026-03-05,1611738,-1449000,-44318,118420
2026-03-06,1942498,244000,98941,2285439
2026-03-09,1707138,-1185607,-154753,366778
2026-03-10,701634,77393,137681,916708
2026-03-11,-1223978,-7000,57469,-1173509
2026-03-12,2915674,-1220000,-95000,1600674
2026-03-13,-886077,11000,20582,-854495
2026-03-16,1705012,-197988,-27000,1480024
2026-03-17,574208,-98000,44412,520620
2026-03-18,2368412,-1235606,109000,1241806
2026-03-19,2296480,-1609000,369404,1056884
2026-03-20,2729745,-305248,-80401,2344096
2026-03-23,1454796,44194,-108336,1390654
2026-03-24,2142281,20266,13000,2175547
2026-03-25,3083024,-1152943,152854,2082935
2026-03-26,799187,-24909,180815,955093
2026-03-27,3660660,-1212000,109997,2558657
