date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,554743,-164779,22000,411964
2026-01-29,-87248,-222000,-23020,-332268
2026-01-30,-834050,-33000,-97909,-964959
2026-02-02,893796,103652,-55000,942448
2026-02-03,491759,-53905,-35357,402497
2026-02-04,1513968,-62000,55000,1506968
2026-02-05,687759,85221,12000,784980
2026-02-06,-508664,78000,14999,-415665
2026-02-09,448494,-66000,61000,443494
2026-02-10,1051025,-190779,81538,941784
2026-02-11,1958282,-136000,102475,1924757
2026-02-23,2913597,-8557,-78000,2827040
2026-02-24,-368996,-450127,159000,-660123
2026-02-25,3071789,-314557,321000,3078232
2026-02-26,1503607,-1249849,189000,442758
2026-03-02,-4932854,-280359,42870,-5170343
2026-03-03,9791339,-217000,348575,9922914
2026-03-04,-7104848,-25000,-940798,-8070646
2026-03-05,-6944436,-101000,-82239,-7127675
2026-03-06,-1037084,-7000,46698,-997386
2026-03-09,-1027078,4312,-45778,-1068544
2026-03-10,-1895063,-16688,-15105,-1926856
2026-03-11,3028946,-36760,56000,3048186
2026-03-12,-923217,-17760,-254291,-1195268
2026-03-13,-2646847,-17000,-73183,-2737030
2026-03-16,1958559,-71994,581040,2467605
2026-03-17,572375,-74000,200000,698375
2026-03-18,351246,-18447,711995,1044794
2026-03-19,-1519443,-13000,86000,-1446443
2026-03-20,34462207,-32738579,-81000,1642628
2026-03-23,-4473444,-23634,-288000,-4785078
2026-03-24,-516827,0,10074,-506753
2026-03-25,1064584,-16000,52000,1100584
2026-03-26,-266626,-4000,5000,-265626
2026-03-27,616708,-61000,-54000,501708
