date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,-1015552,585288,27320,-402944
2026-01-29,1842337,-86382,-27300,1728655
2026-01-30,-542348,403588,-4106,-142866
2026-02-02,-2088347,259168,-205193,-2034372
2026-02-03,1084653,857207,48000,1989860
2026-02-04,-532366,222237,67000,-243129
2026-02-05,687921,760633,126000,1574554
2026-02-06,-3749896,259533,-125498,-3615861
2026-02-09,4159183,317573,133400,4610156
2026-02-10,-653954,548256,40000,-65698
2026-02-11,368977,6000,22256,397233
2026-02-23,-4503108,88410,-76000,-4490698
2026-02-24,1607441,-114136,16600,1509905
2026-02-25,3067569,-42421,-342603,2682545
2026-02-26,757762,309820,22850,1090432
2026-03-02,-813157,194749,-62000,-680408
2026-03-03,-3590467,-8052,-118250,-3716769
2026-03-04,-3064271,333978,-305559,-3035852
2026-03-05,-1555825,-8752,-206400,-1770977
2026-03-06,-955293,-65233,48500,-972026
2026-03-09,-2272447,494607,-110657,-1888497
2026-03-10,-593085,-108674,-49444,-751203
2026-03-11,-948153,-96533,169380,-875306
2026-03-12,-729961,-283256,77120,-936097
2026-03-13,-3478757,-194297,-12898,-3685952
2026-03-16,-685342,-262256,37620,-909978
2026-03-17,-543862,-112637,-6000,-662499
2026-03-18,-920633,-155860,64032,-1012461
2026-03-19,-3005217,-221900,-105788,-3332905
2026-03-20,1100107,-222805,-65300,812002
2026-03-23,-1675318,14217,-120159,-1781260
2026-03-24,144755,-129246,-42930,-27421
2026-03-25,-843348,-167976,48000,-963324
2026-03-26,-2165766,-338826,-14000,-2518592
2026-03-27,545089,-784763,96940,-142734
