date,main_net
2025-12-24,-14754958.0
2025-12-25,22705701.0
2025-12-26,35853086.0
2025-12-29,-19231566.0
2025-12-30,-663841.0
2025-12-31,14361141.0
2026-01-05,1803148.0
2026-01-06,2075245.0
2026-01-07,-22404990.0
2026-01-08,-50782848.0
2026-01-09,-3471181.0
2026-01-12,10278687.0
2026-01-13,11625127.0
2026-01-14,-42567447.0
2026-01-15,-756532.0
2026-01-16,11551316.0
2026-01-19,56217613.0
2026-01-20,-42614606.0
2026-01-21,-24604104.0
2026-01-22,-34559630.0
2026-01-23,12320067.0
2026-01-26,-46104973.0
2026-01-27,-3208166.0
2026-01-28,-24207037.0
2026-01-29,-45072894.0
2026-01-30,-59681210.0
2026-02-02,-58037641.0
2026-02-03,17305703.0
2026-02-04,5249092.0
2026-02-05,-146199.0
2026-02-06,-12711433.0
2026-02-09,-18698572.0
2026-02-10,-6434649.0
2026-02-11,14070543.0
2026-02-12,-26927820.0
2026-02-13,-12924483.0
2026-02-24,10207627.0
2026-02-25,-46256440.0
2026-02-26,-26563841.0
2026-02-27,-17972337.0
2026-03-02,-55548330.0
2026-03-03,-45430387.0
2026-03-04,-47914540.0
2026-03-05,-725183.0
2026-03-06,-21188.0
2026-03-09,-24132387.0
2026-03-10,-7815798.0
2026-03-11,20306903.0
2026-03-12,-1403313.0
2026-03-13,12196615.0
2026-03-16,1595130.0
2026-03-17,-45079383.0
2026-03-18,-32031052.0
2026-03-19,-60758740.0
2026-03-20,95882329.0
2026-03-23,-22309257.0
2026-03-24,-17508632.0
2026-03-25,-15822081.0
2026-03-26,-12009175.0
2026-03-27,6802016.0
