date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,1174675,245000,-14900,1404775
2026-01-29,-947024,56000,105965,-785059
2026-01-30,-349313,3000,-107309,-453622
2026-02-02,299437,-1024931,92000,-633494
2026-02-03,-1110195,-40794,-46400,-1197389
2026-02-04,1111657,78976,-5200,1185433
2026-02-05,-6112435,-38787,-32931,-6184153
2026-02-06,-509099,476110,98743,65754
2026-02-09,-425163,38999,12400,-373764
2026-02-10,-929400,9000,24600,-895800
2026-02-11,1445691,684000,211014,2340705
2026-02-23,1709933,766000,-46040,2429893
2026-02-24,1948928,312369,147877,2409174
2026-02-25,708484,420661,18400,1147545
2026-02-26,-2362220,986510,-22384,-1398094
2026-03-02,209880,162400,40428,412708
2026-03-03,-2065172,-175700,-404445,-2645317
2026-03-04,-1120648,292906,-223908,-1051650
2026-03-05,-1505047,793000,-61544,-773591
2026-03-06,-776978,143948,151000,-482030
2026-03-09,653780,267428,-3325398,-2404190
2026-03-10,140147,844390,-245149,739388
2026-03-11,-108060,270500,667195,829635
2026-03-12,-593219,-17000,172964,-437255
2026-03-13,267955,-178000,-38980,50975
2026-03-16,-862911,-499987,-45739,-1408637
2026-03-17,4059712,14902,150726,4225340
2026-03-18,1386279,52728,281154,1720161
2026-03-19,1192833,-126002,-8711,1058120
2026-03-20,2239075,-420168,90401,1909308
2026-03-23,-2505849,324449,-115095,-2296495
2026-03-24,2115448,263702,349186,2728336
2026-03-25,6439899,196632,208555,6845086
2026-03-26,-1554559,386655,709459,-458445
2026-03-27,-2273031,281352,390825,-1600854
