date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,-16070684,-79085,-248785,-16398554
2026-01-29,5627211,961999,-358609,6230601
2026-01-30,-4164982,-103673,-240730,-4509385
2026-02-02,-250341,-1715920,-129599,-2095860
2026-02-03,1101945,-423579,17000,695366
2026-02-04,-1361384,-583880,28000,-1917264
2026-02-05,-2795730,-2457914,-108416,-5362060
2026-02-06,-756922,-1895001,14700,-2637223
2026-02-09,-1127819,-1740000,-64217,-2932036
2026-02-10,-1598228,-443000,79000,-1962228
2026-02-11,438650,-1506000,89800,-977550
2026-02-23,18100322,-242357,-464000,17393965
2026-02-24,33619540,2175406,851241,36646187
2026-02-25,-2831787,-240777,184535,-2888029
2026-02-26,3093793,-3035827,634832,692798
2026-03-02,4917757,-174638,422791,5165910
2026-03-03,-6718981,442280,-310328,-6587029
2026-03-04,-5089450,1097515,-491028,-4482963
2026-03-05,464073,57140,-110900,410313
2026-03-06,-3646255,-784000,-11954,-4442209
2026-03-09,-4391356,562850,-350471,-4178977
2026-03-10,-1809300,609750,-15700,-1215250
2026-03-11,-2483601,-150000,262100,-2371501
2026-03-12,-9413502,-269774,71900,-9611376
2026-03-13,2867197,-341774,4800,2530223
2026-03-16,-1093268,244245,-30200,-879223
2026-03-17,3479083,1328679,813700,5621462
2026-03-18,-3080173,-897976,211318,-3766831
2026-03-19,4626499,-3038547,172609,1760561
2026-03-20,-4669921,321604,-363146,-4711463
2026-03-23,-5497085,-1113895,-480461,-7091441
2026-03-24,-1579709,-776349,-157693,-2513751
2026-03-25,5206259,-2448,102200,5306011
2026-03-26,2869271,-18432,35900,2886739
2026-03-27,-678660,15259,302698,-360703
