date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,1156532,-656090,-6000,494442
2026-01-29,14813521,-2841000,-131000,11841521
2026-01-30,-3594636,-563000,76000,-4081636
2026-02-02,-2814055,871782,-49000,-1991273
2026-02-03,4357253,214602,-68000,4503855
2026-02-04,10129013,-394000,0,9735013
2026-02-05,10720832,685910,-50467,11356275
2026-02-06,-1920784,810000,-182831,-1293615
2026-02-09,-2776088,-1675000,56000,-4395088
2026-02-10,3919554,-2792090,10000,1137464
2026-02-11,20449760,-311000,429000,20567760
2026-02-23,29715276,687820,4000,30407096
2026-02-24,-7904820,322682,284003,-7298135
2026-02-25,13645497,-650180,101003,13096320
2026-02-26,18360368,2065495,163283,20589146
2026-03-02,-415632,1185982,-8338,762012
2026-03-03,9363430,735000,-173849,9924581
2026-03-04,-14979763,363000,-716738,-15333501
2026-03-05,-4617276,2235000,-823286,-3205562
2026-03-06,-7353401,1676000,-139133,-5816534
2026-03-09,-8598055,1070403,-970119,-8497771
2026-03-10,-6121564,-41596,-195896,-6359056
2026-03-11,-6132432,-221006,-222211,-6575649
2026-03-12,-14664180,-5157006,-396205,-20217391
2026-03-13,4770536,-837000,-469326,3464210
2026-03-16,-35593174,-1918901,-271527,-37783602
2026-03-17,6676670,-7743749,183001,-884078
2026-03-18,-806671,-3088599,283999,-3611271
2026-03-19,-19362006,-450000,-85000,-19897006
2026-03-20,6223533,-9112605,-183390,-3072462
2026-03-23,-13669257,341580,-481809,-13809486
2026-03-24,4938195,-124000,32448,4846643
2026-03-25,6182114,-2478374,254416,3958156
2026-03-26,7643997,-15000,98006,7727003
2026-03-27,4736015,-185000,0,4551015
