date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,-5719067,2026000,-12000,-3705067
2026-01-29,17078546,-32000,-67635,16978911
2026-01-30,9550127,605000,49000,10204127
2026-02-02,7762403,2324799,-167000,9920202
2026-02-03,33393872,2924799,-141000,36177671
2026-02-04,23022890,299000,3000,23324890
2026-02-05,31013186,1269000,-198000,32084186
2026-02-06,812986,863000,-223671,1452315
2026-02-09,62397148,-3082000,104001,59419149
2026-02-10,2592947,-325000,0,2267947
2026-02-11,43057066,425000,951000,44433066
2026-02-23,84252415,1069000,54965,85376380
2026-02-24,43674110,162799,432114,44269023
2026-02-25,31937186,5795000,-1000,37731186
2026-02-26,32815386,13833566,159000,46807952
2026-03-02,-23779776,4544000,828864,-18406912
2026-03-03,20002833,1964000,-145302,21821531
2026-03-04,-26924728,2061000,519743,-24343985
2026-03-05,-6930343,1009000,-697446,-6618789
2026-03-06,6993844,2017000,9465,9020309
2026-03-09,827923,3061497,-2240609,1648811
2026-03-10,-2581309,835498,4377,-1741434
2026-03-11,-1917837,-382000,-205000,-2504837
2026-03-12,-2805190,-1618000,-708853,-5132043
2026-03-13,-8693292,324000,-585076,-8954368
2026-03-16,8882029,-1966890,-376110,6539029
2026-03-17,-5866502,-1021000,540000,-6347502
2026-03-18,-3737895,2348501,538000,-851394
2026-03-19,-32369721,-417000,74324,-32712397
2026-03-20,4061506,2307918,-141265,6228159
2026-03-23,-2568809,894613,-1066976,-2741172
2026-03-24,-1357159,467000,341000,-549159
2026-03-25,9260530,-535000,696000,9421530
2026-03-26,-24362372,-123000,294097,-24191275
2026-03-27,3309945,155000,4000,3468945
