date,main_net
2025-12-24,-243410992.0
2025-12-25,-151155100.0
2025-12-26,28856723.0
2025-12-29,41980128.0
2025-12-30,-106605874.0
2025-12-31,29113328.0
2026-01-05,-3661440.0
2026-01-06,-258079168.0
2026-01-07,266178320.0
2026-01-08,327099680.0
2026-01-09,127488256.0
2026-01-12,18588496.0
2026-01-13,-691117088.0
2026-01-14,251094992.0
2026-01-15,244073488.0
2026-01-16,105648505.0
2026-01-19,149079552.0
2026-01-20,404782112.0
2026-01-21,84130800.0
2026-01-22,474053450.0
2026-01-23,166854544.0
2026-01-26,17496832.0
2026-01-27,-1948864.0
2026-01-28,-143631728.0
2026-01-29,242193968.0
2026-01-30,754770528.0
2026-02-02,507606496.0
2026-02-03,263387952.0
2026-02-04,296049424.0
2026-02-05,459193184.0
2026-02-06,-49597104.0
2026-02-09,-51690112.0
2026-02-10,-137465051.0
2026-02-11,-193897733.0
2026-02-12,-41256213.0
2026-02-13,-10666520.0
2026-02-24,171613093.0
2026-02-25,-68035696.0
2026-02-26,25017312.0
2026-02-27,29058213.0
2026-03-02,-118654474.0
2026-03-03,17718005.0
2026-03-04,-28148896.0
2026-03-05,65319152.0
2026-03-06,186802090.0
2026-03-09,-109034397.0
2026-03-10,156201406.0
2026-03-11,207659033.0
2026-03-12,-4541972.0
2026-03-13,117509604.0
2026-03-16,13599013.0
2026-03-17,-13477254.0
2026-03-18,171976847.0
2026-03-19,-98982326.0
2026-03-20,53886482.0
2026-03-23,163746352.0
2026-03-24,139691217.0
2026-03-25,123488215.0
2026-03-26,-2974308.0
2026-03-27,174196496.0
