date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,-3925650,-785538,188000,-4523188
2026-01-29,13644802,-779571,-1363000,11502231
2026-01-30,-13628200,-607224,55000,-14180424
2026-02-02,-20473307,-320572,-791000,-21584879
2026-02-03,3343564,-98604,688000,3932960
2026-02-04,3895552,161570,77000,4134122
2026-02-05,-7301068,438780,-324000,-7186288
2026-02-06,-2461445,-747006,-642862,-3851313
2026-02-09,6430718,-91000,105000,6444718
2026-02-10,18687238,-447111,215000,18455127
2026-02-11,31320477,1784000,427204,33531681
2026-02-23,9158357,1184446,-4000,10338803
2026-02-24,37263959,652557,533533,38450049
2026-02-25,68721098,565530,1529045,70815673
2026-02-26,-20124347,6076013,-1795995,-15844329
2026-03-02,12905252,1439596,273000,14617848
2026-03-03,-19532865,367489,-534000,-19699376
2026-03-04,-35863498,1352371,-1512157,-36023284
2026-03-05,3932606,1293466,-96700,5129372
2026-03-06,-1778040,465154,126700,-1186186
2026-03-09,-30301493,1790025,-1992775,-30504243
2026-03-10,-25316350,482705,67001,-24766644
2026-03-11,18336500,60777,793000,19190277
2026-03-12,-15913056,98556,-118706,-15933206
2026-03-13,-2370084,-30112,-170243,-2570439
2026-03-16,-986272,-673027,727000,-932299
2026-03-17,-66452504,-739113,-552500,-67744117
2026-03-18,-38172470,-42293,3836502,-34378261
2026-03-19,-37046404,-45300,-106708,-37198412
2026-03-20,-4888720,-1126352,-103546,-6118618
2026-03-23,-28425225,394311,-463996,-28494910
2026-03-24,-3542336,-26000,364017,-3204319
2026-03-25,9605035,-390501,1053980,10268514
2026-03-26,-5428286,-129542,-102000,-5659828
2026-03-27,-3213609,326570,672001,-2215038
