date,main_net
2025-12-24,-44441800.0
2025-12-25,1973474.0
2025-12-26,640977.0
2025-12-29,-68514654.0
2025-12-30,-17939482.0
2025-12-31,-66004042.0
2026-01-05,14608421.0
2026-01-06,80561083.0
2026-01-07,-34158323.0
2026-01-08,14316369.0
2026-01-09,45355714.0
2026-01-12,-38967070.0
2026-01-13,150271444.0
2026-01-14,-406607312.0
2026-01-15,-122221380.0
2026-01-16,-566779200.0
2026-01-19,64730608.0
2026-01-20,-1551390.0
2026-01-21,-768406.0
2026-01-22,-315134684.0
2026-01-23,-788390240.0
2026-01-26,-127501684.0
2026-01-27,-67101205.0
2026-01-28,-12246429.0
2026-01-29,-131214518.0
2026-01-30,-48997489.0
2026-02-02,-910621.0
2026-02-03,72925611.0
2026-02-04,98554192.0
2026-02-05,46064144.0
2026-02-06,-31805320.0
2026-02-09,-23057896.0
2026-02-10,-45792366.0
2026-02-11,16115967.0
2026-02-12,-56332804.0
2026-02-13,-1914291.0
2026-02-24,23186353.0
2026-02-25,-141089172.0
2026-02-26,-103050214.0
2026-02-27,-38732412.0
2026-03-02,-94950515.0
2026-03-03,-99272071.0
2026-03-04,-91579728.0
2026-03-05,91589607.0
2026-03-06,6349235.0
2026-03-09,8793752.0
2026-03-10,-4402265.0
2026-03-11,100901777.0
2026-03-12,28342238.0
2026-03-13,208444866.0
2026-03-16,57367833.0
2026-03-17,13094130.0
2026-03-18,-134725059.0
2026-03-19,-27949564.0
2026-03-20,-48294064.0
2026-03-23,-98911343.0
2026-03-24,-2937241.0
2026-03-25,109904047.0
2026-03-26,-45031201.0
2026-03-27,62396374.0
