date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,-2349936,-15419,0,-2365355
2026-01-29,4274974,-184000,10000,4100974
2026-01-30,-9019347,-55000,57873,-9016474
2026-02-02,-6808412,1291000,-164349,-5681761
2026-02-03,1191092,495161,-19000,1667253
2026-02-04,1310110,370000,131000,1811110
2026-02-05,5428182,469581,-49000,5848763
2026-02-06,-469711,454000,-150077,-165788
2026-02-09,4714465,-6000,61000,4769465
2026-02-10,10680068,-48419,43000,10674649
2026-02-11,9199281,561000,656000,10416281
2026-02-23,20492135,856161,-12130,21336166
2026-02-24,-2424133,580581,191012,-1652540
2026-02-25,1948878,975161,-181,2923858
2026-02-26,2244148,995220,95000,3334368
2026-03-02,-3940694,1162133,2034,-2776527
2026-03-03,3385384,570000,-97737,3857647
2026-03-04,-15556247,691000,-897540,-15762787
2026-03-05,-9118551,679000,-286641,-8726192
2026-03-06,-1289521,254000,284,-1035237
2026-03-09,-8085181,784321,-1264937,-8565797
2026-03-10,-3646684,308321,17100,-3321263
2026-03-11,-1367006,-8342,-5579,-1380927
2026-03-12,-5060850,155658,-254132,-5159324
2026-03-13,-4510208,22000,-272245,-4760453
2026-03-16,-3143763,-1133927,-139971,-4417661
2026-03-17,-7209172,1756000,89000,-5364172
2026-03-18,195328,25981,317000,538309
2026-03-19,-11307065,13000,3759,-11290306
2026-03-20,-1851750,-1439617,-103995,-3395362
2026-03-23,-16624976,300000,-384513,-16709489
2026-03-24,81246,121000,35602,237848
2026-03-25,3231948,71000,328399,3631347
2026-03-26,6006027,0,93000,6099027
2026-03-27,915063,67000,0,982063
