date,main_net
2025-12-24,18209840.0
2025-12-25,-64803238.0
2025-12-26,-71565776.0
2025-12-29,-184773092.0
2025-12-30,-15323303.0
2025-12-31,-86110355.0
2026-01-05,168657822.0
2026-01-06,412735504.0
2026-01-07,9975088.0
2026-01-08,-129615120.0
2026-01-09,-44879088.0
2026-01-12,86179616.0
2026-01-13,189068672.0
2026-01-14,-48730448.0
2026-01-15,238856320.0
2026-01-16,-18988368.0
2026-01-19,513225744.0
2026-01-20,319734000.0
2026-01-21,122322480.0
2026-01-22,192063184.0
2026-01-23,-35673376.0
2026-01-26,167791808.0
2026-01-27,-21488112.0
2026-01-28,351968384.0
2026-01-29,204694512.0
2026-01-30,-122172192.0
2026-02-02,-741380192.0
2026-02-03,-55903504.0
2026-02-04,25290464.0
2026-02-05,-105265376.0
2026-02-06,284847584.0
2026-02-09,-8109824.0
2026-02-10,-37678416.0
2026-02-11,120310784.0
2026-02-12,-137542800.0
2026-02-13,-194172544.0
2026-02-24,102667440.0
2026-02-25,-201134192.0
2026-02-26,-48893744.0
2026-02-27,49157696.0
2026-03-02,-40063312.0
2026-03-03,-596284432.0
2026-03-04,-352736944.0
2026-03-05,34466688.0
2026-03-06,305444384.0
2026-03-09,-251998384.0
2026-03-10,-430458368.0
2026-03-11,-269706128.0
2026-03-12,-426569344.0
2026-03-13,-518008352.0
2026-03-16,-915660672.0
2026-03-17,-302960928.0
2026-03-18,44679904.0
2026-03-19,-309663712.0
2026-03-20,-379926720.0
2026-03-23,-201561824.0
2026-03-24,108677535.0
2026-03-25,80313328.0
2026-03-26,161129968.0
2026-03-27,161656384.0
