date,main_net
2025-12-24,-54111447.0
2025-12-25,-4925576.0
2025-12-26,-24155944.0
2025-12-29,-49411274.0
2025-12-30,-140859870.0
2025-12-31,37714371.0
2026-01-05,288453541.0
2026-01-06,44264080.0
2026-01-07,-75882618.0
2026-01-08,182347552.0
2026-01-09,-175456422.0
2026-01-12,-174981925.0
2026-01-13,-90644484.0
2026-01-14,-406174624.0
2026-01-15,127780789.0
2026-01-16,-109879316.0
2026-01-19,-3127348.0
2026-01-20,244139552.0
2026-01-21,34846365.0
2026-01-22,-347019760.0
2026-01-23,205535696.0
2026-01-26,81517424.0
2026-01-27,6864156.0
2026-01-28,255501888.0
2026-01-29,333604032.0
2026-01-30,-352660064.0
2026-02-02,-75621504.0
2026-02-03,82410361.0
2026-02-04,161895904.0
2026-02-05,-71775845.0
2026-02-06,-127917991.0
2026-02-09,35751232.0
2026-02-10,-240480200.0
2026-02-11,49272367.0
2026-02-12,-7117530.0
2026-02-13,-4329169.0
2026-02-24,141885697.0
2026-02-25,167628800.0
2026-02-26,-195560145.0
2026-02-27,26012659.0
2026-03-02,65358572.0
2026-03-03,-129140571.0
2026-03-04,-89639778.0
2026-03-05,5651644.0
2026-03-06,-1940957.0
2026-03-09,-365246.0
2026-03-10,-94009586.0
2026-03-11,16775049.0
2026-03-12,18653710.0
2026-03-13,82654025.0
2026-03-16,30541155.0
2026-03-17,89565536.0
2026-03-18,-194481919.0
2026-03-19,-140248265.0
2026-03-20,-66712598.0
2026-03-23,-148178121.0
2026-03-24,-1040100.0
2026-03-25,61729734.0
2026-03-26,-58605906.0
2026-03-27,-2229274.0
