date,main_net
2025-12-24,-148498887.0
2025-12-25,-24343996.0
2025-12-26,-49600812.0
2025-12-29,163010720.0
2025-12-30,129420640.0
2025-12-31,-48828382.0
2026-01-05,51157487.0
2026-01-06,-28407696.0
2026-01-07,-61834386.0
2026-01-08,-107167041.0
2026-01-09,-182607304.0
2026-01-12,-120878024.0
2026-01-13,-409908408.0
2026-01-14,37648544.0
2026-01-15,58814783.0
2026-01-16,-251142432.0
2026-01-19,-106233031.0
2026-01-20,-144930273.0
2026-01-21,-99690269.0
2026-01-22,-82153652.0
2026-01-23,48644352.0
2026-01-26,323874032.0
2026-01-27,-137784704.0
2026-01-28,-131285744.0
2026-01-29,246317328.0
2026-01-30,133558528.0
2026-02-02,202114592.0
2026-02-03,13650160.0
2026-02-04,187971840.0
2026-02-05,-155596286.0
2026-02-06,31233802.0
2026-02-09,-31130590.0
2026-02-10,-136422543.0
2026-02-11,-33759223.0
2026-02-12,-100505046.0
2026-02-13,62396093.0
2026-02-24,-29344648.0
2026-02-25,76808364.0
2026-02-26,6382319.0
2026-02-27,233633344.0
2026-03-02,-118415072.0
2026-03-03,-118413328.0
2026-03-04,33997968.0
2026-03-05,-18938987.0
2026-03-06,164518272.0
2026-03-09,31211824.0
2026-03-10,-206784288.0
2026-03-11,105942528.0
2026-03-12,234681904.0
2026-03-13,-146051556.0
2026-03-16,-33106554.0
2026-03-17,74032864.0
2026-03-18,-137008284.0
2026-03-19,-245779724.0
2026-03-20,-214697735.0
2026-03-23,-250144288.0
2026-03-24,-334487152.0
2026-03-25,-26376117.0
2026-03-26,-177483679.0
2026-03-27,42433382.0
