date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,1206700,-475373,-3000,728327
2026-01-29,1089507,-41747,0,1047760
2026-01-30,621125,-33460,7000,594665
2026-02-02,122400,-380258,7695,-250163
2026-02-03,237119,-154000,1000,84119
2026-02-04,-687669,-79000,16000,-750669
2026-02-05,-2649320,-3711,42000,-2611031
2026-02-06,-588999,5000,-17000,-600999
2026-02-09,93027,-245000,6000,-145973
2026-02-10,1616800,0,-68000,1548800
2026-02-11,2182530,65000,149000,2396530
2026-02-23,1779624,-478123,-24000,1277501
2026-02-24,2121694,-529747,97000,1688947
2026-02-25,3546577,-504178,-76000,2966399
2026-02-26,612976,184564,-35000,762540
2026-03-02,-255054,18648,-13401,-249807
2026-03-03,-134669,48000,-12000,-98669
2026-03-04,-185091,24661,-110000,-270430
2026-03-05,1344725,143000,-117000,1370725
2026-03-06,677231,40000,-15,717216
2026-03-09,-314628,120661,-190381,-384348
2026-03-10,137438,38672,10000,186110
2026-03-11,-1560631,-41000,23000,-1578631
2026-03-12,2945600,-645338,-51000,2249262
2026-03-13,-1037700,39661,132000,-866039
2026-03-16,6039710,-1257313,-207741,4574656
2026-03-17,9143390,-190014,55000,9008376
2026-03-18,7682208,-7013,15000,7690195
2026-03-19,4166130,-2177676,-43000,1945454
2026-03-20,1261174,-78005,-181000,1002169
2026-03-23,1876024,6987,-265000,1618011
2026-03-24,3985707,-177000,-35000,3773707
2026-03-25,4515598,242355,1000,4758953
2026-03-26,5204139,-10622,-61000,5132517
2026-03-27,-530600,197684,-12000,-344916
