date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,-5682402,-396628,54935,-6024095
2026-01-29,-4603984,-3044000,706000,-6941984
2026-01-30,-10035496,2349000,197292,-7489204
2026-02-02,-10328872,515447,55000,-9758425
2026-02-03,-7065806,-79699,-1010081,-8155586
2026-02-04,-1899777,41800,59000,-1798977
2026-02-05,-80746,907372,-549329,277297
2026-02-06,-2721095,699000,-19787,-2041882
2026-02-09,-1759816,-420000,-50760,-2230576
2026-02-10,-9636312,1600372,196000,-7839940
2026-02-11,-2270868,-415000,144000,-2541868
2026-02-23,-2708980,-34256,-890241,-3633477
2026-02-24,-477190,606519,-318000,-188671
2026-02-25,-3372263,191744,-493752,-3674271
2026-02-26,-9634811,8428734,77941,-1128136
2026-03-02,-15623085,3001752,-1491140,-14112473
2026-03-03,994429,825000,-480919,1338510
2026-03-04,-6914476,1495000,-27174,-5446650
2026-03-05,-3767399,-247000,-37633,-4052032
2026-03-06,1674885,723000,3441,2401326
2026-03-09,-8110718,2316416,-333381,-6127683
2026-03-10,-7025250,-508583,34013,-7499820
2026-03-11,51555,-195528,23781,-120192
2026-03-12,-4140071,400472,-2819,-3742418
2026-03-13,-7904112,-383000,16051,-8271061
2026-03-16,-338523,-1280929,-29226,-1648678
2026-03-17,-1303508,-5017910,15477,-6305941
2026-03-18,-2845144,-175109,73947,-2946306
2026-03-19,-7153845,20000,-225497,-7359342
2026-03-20,886557,-1962715,8694,-1067464
2026-03-23,-2143969,329529,-52561,-1867001
2026-03-24,9312844,-1000,-38000,9273844
2026-03-25,612636,4924000,48000,5584636
2026-03-26,5895968,-7000,17742,5906710
2026-03-27,-6884322,204000,57493,-6622829
