date,main_net
2025-12-24,-44927713.0
2025-12-25,23057781.0
2025-12-26,-15851876.0
2025-12-29,127762173.0
2025-12-30,-77127367.0
2025-12-31,-57164737.0
2026-01-05,-19992337.0
2026-01-06,132025154.0
2026-01-07,93323992.0
2026-01-08,67097718.0
2026-01-09,58738328.0
2026-01-12,88748152.0
2026-01-13,-16678784.0
2026-01-14,-15538795.0
2026-01-15,163889117.0
2026-01-16,729340.0
2026-01-19,-51994800.0
2026-01-20,172411760.0
2026-01-21,32215023.0
2026-01-22,31039499.0
2026-01-23,-9839674.0
2026-01-26,-90763019.0
2026-01-27,-86124412.0
2026-01-28,33248833.0
2026-01-29,78416345.0
2026-01-30,-74615468.0
2026-02-02,-6587779.0
2026-02-03,128829654.0
2026-02-04,165432301.0
2026-02-05,77685840.0
2026-02-06,49131825.0
2026-02-09,-16208821.0
2026-02-10,-76625623.0
2026-02-11,-7093471.0
2026-02-12,-67957245.0
2026-02-13,-53008922.0
2026-02-24,-21901522.0
2026-02-25,-211933419.0
2026-02-26,-322842646.0
2026-02-27,-20347145.0
2026-03-02,-230783250.0
2026-03-03,14884764.0
2026-03-04,-82335123.0
2026-03-05,11693593.0
2026-03-06,150395636.0
2026-03-09,-25135155.0
2026-03-10,161377709.0
2026-03-11,-18255408.0
2026-03-12,-13455060.0
2026-03-13,224435369.0
2026-03-16,-15015129.0
2026-03-17,-91910314.0
2026-03-18,-70385830.0
2026-03-19,-95025889.0
2026-03-20,135207840.0
2026-03-23,-185263086.0
2026-03-24,9566128.0
2026-03-25,120938491.0
2026-03-26,-16046912.0
2026-03-27,-12763673.0
