date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,9690988,-6000,33000,9717988
2026-01-29,6125015,-5000,-48000,6072015
2026-01-30,-6562769,-1000,-383000,-6946769
2026-02-02,-8021904,-2000,-107416,-8131320
2026-02-03,-13294020,-5000,-172000,-13471020
2026-02-04,-35435,-24000,56150,-3285
2026-02-05,-6217111,-28000,-115000,-6360111
2026-02-06,-2049243,0,-130000,-2179243
2026-02-09,-3080330,0,20000,-3060330
2026-02-10,-605078,-6000,58000,-553078
2026-02-11,6544916,-11000,320000,6853916
2026-02-23,4472487,-10000,-49000,4413487
2026-02-24,8870900,6000,154590,9031490
2026-02-25,7759908,-19000,-2000,7738908
2026-02-26,-6935676,-3058,-35000,-6973734
2026-03-02,6934888,-3000,197745,7129633
2026-03-03,-3965037,184000,-262000,-4043037
2026-03-04,-7051880,160000,-647000,-7538880
2026-03-05,-20122043,31000,-106000,-20197043
2026-03-06,5221533,12000,22578,5256111
2026-03-09,-13185427,103000,-585000,-13667427
2026-03-10,-4289777,48000,14000,-4227777
2026-03-11,6949755,27000,128000,7104755
2026-03-12,539438,14000,-199000,354438
2026-03-13,-9610135,73000,-280000,-9817135
2026-03-16,-2434967,82044,-76000,-2428923
2026-03-17,-3793020,-199000,55000,-3937020
2026-03-18,2577726,92000,119000,2788726
2026-03-19,-8245157,-2235000,2000,-10478157
2026-03-20,-5505941,1646847,-23000,-3882094
2026-03-23,-4033936,0,-214000,-4247936
2026-03-24,-636899,0,76000,-560899
2026-03-25,4800457,-33000,163999,4931456
2026-03-26,5852028,-30000,187000,6009028
2026-03-27,-3603492,0,-36000,-3639492
