date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,3906923,1022000,-7000,4921923
2026-01-29,5498501,658000,19000,6175501
2026-01-30,-389580,-501000,191,-890389
2026-02-02,2019857,627000,-214900,2431957
2026-02-03,2312945,748000,-13000,3047945
2026-02-04,549482,741000,79000,1369482
2026-02-05,3313394,375000,-43000,3645394
2026-02-06,2486777,469000,-777326,2178451
2026-02-09,2655528,511000,45984,3212512
2026-02-10,6438542,-108000,123000,6453542
2026-02-11,8434723,367000,579000,9380723
2026-02-23,13363360,920000,-54643,14228717
2026-02-24,4563972,1098000,306000,5967972
2026-02-25,4988883,3819000,7089,8814972
2026-02-26,-4135596,12620923,-18651,8466676
2026-03-02,-5797918,1899000,21306,-3877612
2026-03-03,-678460,1416000,-74846,662694
2026-03-04,-6625,1132000,-800805,324570
2026-03-05,-949732,2444000,-256495,1237773
2026-03-06,-249702,445000,-2651,192647
2026-03-09,-4091698,3492063,-1281164,-1880799
2026-03-10,-2839221,664063,4666,-2170492
2026-03-11,119725,1386000,-11371,1494354
2026-03-12,-3465387,1531000,-179213,-2113600
2026-03-13,1459605,203000,-359574,1303031
2026-03-16,924808,-902936,-181990,-160118
2026-03-17,1758184,-726000,163135,1195319
2026-03-18,3279312,-111935,272000,3439377
2026-03-19,-408468,-191000,1917,-597551
2026-03-20,5102285,-4123935,-32199,946151
2026-03-23,-4667992,580000,-379991,-4467983
2026-03-24,3290241,231000,87910,3609151
2026-03-25,1185600,636600,252172,2074372
2026-03-26,-1691307,-30000,81787,-1639520
2026-03-27,-1103000,885000,-461,-218461
