date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,5622556,-67916,20407,5575047
2026-01-29,3720436,-26900,-35000,3658536
2026-01-30,-3348858,-98200,-42696,-3489754
2026-02-02,494084,-31992,-4288,457804
2026-02-03,1410764,-74224,138,1336678
2026-02-04,2431390,-33000,75003,2473393
2026-02-05,1798067,-30216,70277,1838128
2026-02-06,-801162,-51300,6182,-846280
2026-02-09,236168,-74600,18673,180241
2026-02-10,2145069,-177416,203000,2170653
2026-02-11,3645072,-16000,194261,3823333
2026-02-23,22583369,-1264032,-11957,21307380
2026-02-24,6491972,-131708,156349,6516613
2026-02-25,9222949,-136032,454736,9541653
2026-02-26,16537234,-56783,-166135,16314316
2026-03-02,-7117133,-36272,-40851,-7194256
2026-03-03,45033340,-12500,789133,45809973
2026-03-04,-30562748,-147000,-1540553,-32250301
2026-03-05,-9072342,-55000,-104314,-9231656
2026-03-06,-3675246,10800,-218486,-3882932
2026-03-09,-16530827,42000,-589486,-17078313
2026-03-10,390710,-219700,185748,356758
2026-03-11,12142344,-33543,278779,12387580
2026-03-12,9627364,-62943,-9454,9554967
2026-03-13,-12507784,95600,-688100,-13100284
2026-03-16,-2557393,68512,516490,-1972391
2026-03-17,-3817792,1150300,359818,-2307674
2026-03-18,-1263554,-149943,1056864,-356633
2026-03-19,-8197663,-53000,63113,-8187550
2026-03-20,-1290893,-76123,-20300,-1387316
2026-03-23,-5869787,41441,-164646,-5992992
2026-03-24,-4634186,46000,-36068,-4624254
2026-03-25,1698587,-21400,306414,1983601
2026-03-26,-2728623,-6000,19046,-2715577
2026-03-27,-2518646,0,49956,-2468690
