date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,-15868,-2000,-744,-18612
2026-01-29,57189,-6000,1000,52189
2026-01-30,-43429,-2000,-5656,-51085
2026-02-02,-141024,-6000,-12287,-159311
2026-02-03,-27140,-4000,-1358,-32498
2026-02-04,-53054,-7000,3064,-56990
2026-02-05,-34019,-1000,-3000,-38019
2026-02-06,-38353,0,-5645,-43998
2026-02-09,34130,-19000,-431,14699
2026-02-10,28559,0,8700,37259
2026-02-11,193751,0,18000,211751
2026-02-23,137141,-41000,1444,97585
2026-02-24,264868,1000,6441,272309
2026-02-25,135051,-9000,-251,125800
2026-02-26,238561,-30003,-26000,182558
2026-03-02,-20920,-4000,26900,1980
2026-03-03,-92109,-1000,-4987,-98096
2026-03-04,-175300,-1000,-29943,-206243
2026-03-05,-240374,-27000,-13193,-280567
2026-03-06,-297437,0,1455,-295982
2026-03-09,-69603,62,-51992,-121533
2026-03-10,-151950,62,2204,-149684
2026-03-11,-145186,0,-425,-145611
2026-03-12,-407505,-47000,-7742,-462247
2026-03-13,-288104,-2000,-9460,-299564
2026-03-16,-106499,-46997,-5539,-159035
2026-03-17,-146392,297000,5061,155669
2026-03-18,-83836,62,12093,-71681
2026-03-19,-184085,0,-1027,-185112
2026-03-20,37416,-57277,-8789,-28650
2026-03-23,-158601,0,-18740,-177341
2026-03-24,-35288,0,7283,-28005
2026-03-25,108295,-16000,15711,108006
2026-03-26,160128,-1000,4795,163923
2026-03-27,2337,-2000,495,832
