date,main_net
2025-12-24,-48683623.0
2025-12-25,-48061293.0
2025-12-26,9721034.0
2025-12-29,-15730241.0
2025-12-30,-130433160.0
2025-12-31,-6136157.0
2026-01-05,90980026.0
2026-01-06,-44551965.0
2026-01-07,-98136781.0
2026-01-08,219859722.0
2026-01-09,5903761.0
2026-01-12,-91619202.0
2026-01-13,-63365056.0
2026-01-14,-273389446.0
2026-01-15,235350671.0
2026-01-16,-170803325.0
2026-01-19,-21984369.0
2026-01-20,98465989.0
2026-01-21,618781184.0
2026-01-22,-151963456.0
2026-01-23,-120260688.0
2026-01-26,-149366584.0
2026-01-27,-52839051.0
2026-01-28,130888365.0
2026-01-29,474722144.0
2026-01-30,-390712768.0
2026-02-02,-91382806.0
2026-02-03,-38634498.0
2026-02-04,140334768.0
2026-02-05,-115395701.0
2026-02-06,24592873.0
2026-02-09,102383875.0
2026-02-10,-64175220.0
2026-02-11,46324209.0
2026-02-12,-39536320.0
2026-02-13,150065632.0
2026-02-24,38061549.0
2026-02-25,133901648.0
2026-02-26,-408617052.0
2026-02-27,-46004909.0
2026-03-02,-106698685.0
2026-03-03,-110906137.0
2026-03-04,-68210156.0
2026-03-05,47435842.0
2026-03-06,-10725702.0
2026-03-09,-66120596.0
2026-03-10,-7042155.0
2026-03-11,-24907300.0
2026-03-12,-36750315.0
2026-03-13,10822003.0
2026-03-16,-48062215.0
2026-03-17,43924266.0
2026-03-18,-74663731.0
2026-03-19,-168056429.0
2026-03-20,-198785163.0
2026-03-23,-222689591.0
2026-03-24,-35596727.0
2026-03-25,625678.0
2026-03-26,-43586059.0
2026-03-27,-2313928.0
