date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,-552318,53000,8200,-491118
2026-01-29,-1585993,47700,-34043,-1572336
2026-01-30,-3383977,-32549,-384,-3416910
2026-02-02,-877276,123994,-2100,-755382
2026-02-03,-662854,-24876,1999,-685731
2026-02-04,-1376138,-14075,6000,-1384213
2026-02-05,-1307917,42530,-1568,-1266955
2026-02-06,-424453,63619,-122921,-483755
2026-02-09,-385124,-102550,2895,-484779
2026-02-10,272181,-48000,-1014,223167
2026-02-11,-80226,-39000,25685,-93541
2026-02-23,-662826,-79650,2681,-739795
2026-02-24,-581276,-5727,7297,-579706
2026-02-25,-777623,-196000,-12624,-986247
2026-02-26,529422,-471034,-1329,57059
2026-03-02,-772022,3000,31943,-737079
2026-03-03,-1685491,-48800,26064,-1708227
2026-03-04,-1388208,18000,-9631,-1379839
2026-03-05,-140514,-382500,-14213,-537227
2026-03-06,-403033,12000,4655,-386378
2026-03-09,1194069,137108,-110346,1220831
2026-03-10,-1938176,-13892,4856,-1947212
2026-03-11,695858,-1500,407,694765
2026-03-12,-31699,-83000,65451,-49248
2026-03-13,-98056,-5689,-3642,-107387
2026-03-16,690279,-72998,6166,623447
2026-03-17,130353,1000,3186,134539
2026-03-18,162694,-78892,37340,121142
2026-03-19,-168360,-29000,2000,-195360
2026-03-20,11292382,-11217342,29559,104599
2026-03-23,-399896,-24308,-8614,-432818
2026-03-24,549087,-48122,1987,502952
2026-03-25,107555,137843,12000,257398
2026-03-26,279342,-9402,25000,294940
2026-03-27,824923,92624,12000,929547
