date,main_net
2025-12-24,-149416833.0
2025-12-25,-1108433.0
2025-12-26,-39057801.0
2025-12-29,-190513056.0
2025-12-30,32454263.0
2025-12-31,-42433598.0
2026-01-05,81888791.0
2026-01-06,80704246.0
2026-01-07,-18972266.0
2026-01-08,-66680799.0
2026-01-09,4076122.0
2026-01-12,43881647.0
2026-01-13,-61905555.0
2026-01-14,-124283509.0
2026-01-15,-191226207.0
2026-01-16,9823078.0
2026-01-19,-49305893.0
2026-01-20,42502662.0
2026-01-21,-174672923.0
2026-01-22,71473367.0
2026-01-23,15386363.0
2026-01-26,5244638.0
2026-01-27,-73689548.0
2026-01-28,74640320.0
2026-01-29,511125424.0
2026-01-30,-76038192.0
2026-02-02,129498160.0
2026-02-03,4199668.0
2026-02-04,202836976.0
2026-02-05,-2843311.0
2026-02-06,-87079203.0
2026-02-09,-74544303.0
2026-02-10,-184051087.0
2026-02-11,-35497769.0
2026-02-12,-102071581.0
2026-02-13,30513234.0
2026-02-24,4221481.0
2026-02-25,-27817464.0
2026-02-26,-177788485.0
2026-02-27,-12763018.0
2026-03-02,-45162318.0
2026-03-03,82604654.0
2026-03-04,-106985771.0
2026-03-05,-27584165.0
2026-03-06,39763598.0
2026-03-09,-76449781.0
2026-03-10,-84672997.0
2026-03-11,63680080.0
2026-03-12,50398911.0
2026-03-13,20743498.0
2026-03-16,28109515.0
2026-03-17,-24181975.0
2026-03-18,-81323390.0
2026-03-19,-70590419.0
2026-03-20,-108358604.0
2026-03-23,-114895701.0
2026-03-24,-84375840.0
2026-03-25,-2415686.0
2026-03-26,-107972864.0
2026-03-27,-45348938.0
