date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,13426952,634001,-674838,13386115
2026-01-29,-5772513,330000,-843159,-6285672
2026-01-30,21097905,226001,601197,21925103
2026-02-02,-29461272,-1113198,-488000,-31062470
2026-02-03,-705523,530229,-853000,-1028294
2026-02-04,-2635403,918000,245000,-1472403
2026-02-05,-14203921,-606000,126454,-14683467
2026-02-06,18008277,128385,-1442010,16694652
2026-02-09,-12255520,1905000,349000,-10001520
2026-02-10,651007,-190000,-792786,-331779
2026-02-11,14271140,-1234001,-50000,12987139
2026-02-23,-5439283,1361000,634024,-3444259
2026-02-24,-907000,677802,684582,455384
2026-02-25,-9030683,-1354000,-478875,-10863558
2026-02-26,2338672,-1637000,-546417,155255
2026-03-02,6605044,-1565000,-220828,4819216
2026-03-03,-1218865,-3448000,-1710996,-6377861
2026-03-04,30306186,-5724291,-1221629,23360266
2026-03-05,-619235,-86000,-734000,-1439235
2026-03-06,-1959829,-2420000,-272790,-4652619
2026-03-09,-2426118,115249,-514000,-2824869
2026-03-10,17182955,-1052751,-2176501,13953703
2026-03-11,-15276711,1314000,-1187596,-15150307
2026-03-12,-21458555,-106000,-3008976,-24573531
2026-03-13,-12135124,-2549000,-198000,-14882124
2026-03-16,11987609,-2313000,1725204,11399813
2026-03-17,-2518642,3560000,1590540,2631898
2026-03-18,-3602702,590249,-256999,-3269452
2026-03-19,-24694256,-2819000,-263001,-27776257
2026-03-20,-33948954,-3521121,-2726013,-40196088
2026-03-23,2698406,-5219612,138000,-2383206
2026-03-24,13066189,-8818001,-1057000,3191188
2026-03-25,3722086,-2406037,343258,1659307
2026-03-26,-18514610,-1723000,631000,-19606610
2026-03-27,-3949489,-7434000,1115000,-10268489
