date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,634972,-285997,-1000,347975
2026-01-29,261430,-17380,-2000,242050
2026-01-30,-111289,-104140,8000,-207429
2026-02-02,97138,-119221,5850,-16233
2026-02-03,291983,-229208,-9730,53045
2026-02-04,1000,-98450,8000,-89450
2026-02-05,83307,43000,11400,137707
2026-02-06,113113,72839,-8000,177952
2026-02-09,-69125,-167001,1000,-235126
2026-02-10,153211,0,-1820,151391
2026-02-11,286798,17500,-5000,299298
2026-02-23,293368,-99000,20224,214592
2026-02-24,-68659,83499,16481,31321
2026-02-25,342107,92920,46610,481637
2026-02-26,-168355,-88002,62300,-194057
2026-03-02,-21028,299860,21100,299932
2026-03-03,-192266,57960,1680,-132626
2026-03-04,-135211,-37228,22786,-149653
2026-03-05,496902,84840,-8500,573242
2026-03-06,-322247,12920,24870,-284457
2026-03-09,-265746,19983,-35950,-281713
2026-03-10,-162547,-87380,-700,-250627
2026-03-11,383311,5000,3900,392211
2026-03-12,158739,-421000,-686,-262947
2026-03-13,109276,-264000,9394,-145330
2026-03-16,-82334,-223148,28176,-277306
2026-03-17,297007,-547111,94803,-155301
2026-03-18,-802837,-221977,97371,-927443
2026-03-19,-96138,-58160,2980,-151318
2026-03-20,88565,-63381,-17600,7584
2026-03-23,-323658,-947,-65740,-390345
2026-03-24,103433,-5058,2000,100375
2026-03-25,-41696,-13075,14800,-39971
2026-03-26,-1179987,-35672,124000,-1091659
2026-03-27,-58326,-22401,85700,4973
