date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,-7424435,-6100,4340,-7426195
2026-01-29,6241679,-1594000,25376,4673055
2026-01-30,-9871247,-57000,107004,-9821243
2026-02-02,-5536884,1331518,-160041,-4365407
2026-02-03,2132142,529518,-16000,2645660
2026-02-04,-1145234,382800,59747,-702687
2026-02-05,6950443,603000,-52860,7500583
2026-02-06,1550825,482000,-86754,1946071
2026-02-09,-398489,4000,70420,-324069
2026-02-10,3800869,-655000,141944,3287813
2026-02-11,8199326,580000,556000,9335326
2026-02-23,19017821,9000,-14011,19012810
2026-02-24,6183814,610918,148565,6943297
2026-02-25,372194,1024000,9177,1405371
2026-02-26,7037844,-134398,3825,6907271
2026-03-02,1358823,671000,1784,2031607
2026-03-03,8949089,136900,-79447,9006542
2026-03-04,-15051029,722000,-826454,-15155483
2026-03-05,1478094,529000,-266444,1740650
2026-03-06,9098019,263000,12,9361031
2026-03-09,1651736,435406,-1136664,950478
2026-03-10,-722383,316407,16182,-389794
2026-03-11,5540518,1000,-9104,5532414
2026-03-12,-4095834,172000,-240058,-4163892
2026-03-13,6433635,64000,-268689,6228946
2026-03-16,1188515,-972921,-131640,83954
2026-03-17,1121175,-786000,171000,506175
2026-03-18,-3438835,-69591,247020,-3261406
2026-03-19,-7051549,8000,31164,-7012385
2026-03-20,6200906,-1818999,-101610,4280297
2026-03-23,-4046226,222712,-385032,-4208546
2026-03-24,9539074,133000,85000,9757074
2026-03-25,5206429,81000,328315,5615744
2026-03-26,4953632,0,74546,5028178
2026-03-27,-3056840,66000,29711,-2961129
