date,main_net
2025-12-24,-143251403.0
2025-12-25,-193428204.0
2025-12-26,-92650679.0
2025-12-29,-77237198.0
2025-12-30,-161870920.0
2025-12-31,250435600.0
2026-01-05,629913136.0
2026-01-06,-249840880.0
2026-01-07,-563438688.0
2026-01-08,98386048.0
2026-01-09,463616848.0
2026-01-12,629910416.0
2026-01-13,-468456816.0
2026-01-14,-119856080.0
2026-01-15,63139536.0
2026-01-16,737306256.0
2026-01-19,-816508544.0
2026-01-20,-704602112.0
2026-01-21,-134281056.0
2026-01-22,-32224944.0
2026-01-23,-43449680.0
2026-01-26,-53775520.0
2026-01-27,-115610272.0
2026-01-28,-160416224.0
2026-01-29,1539696912.0
2026-01-30,-619770480.0
2026-02-02,-796963504.0
2026-02-03,102922848.0
2026-02-04,-586065952.0
2026-02-05,-335583296.0
2026-02-06,-256149968.0
2026-02-09,266600608.0
2026-02-10,140319200.0
2026-02-11,-185068368.0
2026-02-12,573643664.0
2026-02-13,-236909392.0
2026-02-24,-2480960.0
2026-02-25,-504983312.0
2026-02-26,-339401952.0
2026-02-27,-74657728.0
2026-03-02,-520336640.0
2026-03-03,-621755776.0
2026-03-04,-319549616.0
2026-03-05,-149052963.0
2026-03-06,-31497960.0
2026-03-09,125362800.0
2026-03-10,-67891376.0
2026-03-11,-247082498.0
2026-03-12,-224008768.0
2026-03-13,-141704734.0
2026-03-16,-88587516.0
2026-03-17,-120464336.0
2026-03-18,-72123347.0
2026-03-19,-203364713.0
2026-03-20,-280783899.0
2026-03-23,-343997782.0
2026-03-24,-83654277.0
2026-03-25,19364839.0
2026-03-26,-146429786.0
2026-03-27,-21760051.0
