date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,-3326881,-59032,-41517,-3427430
2026-01-29,10402609,-2131000,8446,8280055
2026-01-30,-19883238,-691000,23554,-20550684
2026-02-02,-2107230,1151332,-99000,-1054898
2026-02-03,-521877,458267,-18429,-82039
2026-02-04,2125769,196000,82000,2403769
2026-02-05,6415146,325968,-51000,6690114
2026-02-06,2325793,463000,-150239,2638554
2026-02-09,4448735,4000,58000,4510735
2026-02-10,2552618,830968,143000,3526586
2026-02-11,12662066,-298000,679000,13043066
2026-02-23,20061626,-259065,2254,19804815
2026-02-24,2806633,116400,302000,3225033
2026-02-25,4751808,-1227065,-6000,3518743
2026-02-26,1229163,198549,26132,1453844
2026-03-02,4369027,1091650,50747,5511424
2026-03-03,8880853,-964748,-154227,7761878
2026-03-04,-8343329,308000,-852340,-8887669
2026-03-05,-1407955,596000,-224794,-1036749
2026-03-06,4027097,105000,248,4132345
2026-03-09,-9676243,813619,-1266915,-10129539
2026-03-10,-1684985,266620,2271,-1416094
2026-03-11,-1043254,-162970,-7818,-1214042
2026-03-12,-7858891,96030,-214435,-7977296
2026-03-13,-665664,16000,-326547,-976211
2026-03-16,-32261,-1103918,-136994,-1273173
2026-03-17,3046073,-798000,148000,2396073
2026-03-18,742907,-62348,301644,982203
2026-03-19,-7749635,-96000,33,-7845602
2026-03-20,-4998311,-2069202,-99764,-7167277
2026-03-23,-744644,218514,-391395,-917525
2026-03-24,9395541,94000,110864,9600405
2026-03-25,6899131,379000,289094,7567225
2026-03-26,8973626,-81000,84000,8976626
2026-03-27,3582449,-1000,-26122,3555327
