date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,926030,2459000,5000,3390030
2026-01-29,1465292,643000,15000,2123292
2026-01-30,-40531,1137000,144000,1240469
2026-02-02,-853516,637649,149000,-66867
2026-02-03,-753486,1896827,9000,1152341
2026-02-04,-1807487,546000,50000,-1211487
2026-02-05,-4771935,751385,207000,-3813550
2026-02-06,-3801622,952293,141000,-2708329
2026-02-09,-673438,2000,-186000,-857438
2026-02-10,-1071979,97000,102000,-872979
2026-02-11,3013051,-351000,336000,2998051
2026-02-23,8216265,30000,10000,8256265
2026-02-24,2942035,118649,197000,3257684
2026-02-25,2974291,-171000,135000,2938291
2026-02-26,1446348,236458,426000,2108806
2026-03-02,16453967,343000,9000,16805967
2026-03-03,4747633,1858000,-34000,6571633
2026-03-04,2017984,100000,178000,2295984
2026-03-05,4180763,314000,35000,4529763
2026-03-06,3782689,126000,2000,3910689
2026-03-09,7467105,-791154,-497000,6178951
2026-03-10,581137,127846,406000,1114983
2026-03-11,2994058,-113000,42000,2923058
2026-03-12,5222986,-251000,-152000,4819986
2026-03-13,1561985,-102000,-135000,1324985
2026-03-16,1761466,-406971,-78000,1276495
2026-03-17,3326796,-425000,83000,2984796
2026-03-18,1678264,8847,105000,1792111
2026-03-19,258623,-106000,180000,332623
2026-03-20,1311082,-647675,440000,1103407
2026-03-23,2552956,1399958,-139000,3813914
2026-03-24,1717005,46000,22000,1785005
2026-03-25,1633665,-71333,116000,1678332
2026-03-26,652093,-82249,52000,621844
2026-03-27,-186293,-68490,252000,-2783
