date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,805719,-3014280,13000,-2195561
2026-01-29,9848612,-3555422,-13000,6280190
2026-01-30,410207,-3161042,35000,-2715835
2026-02-02,8430507,289857,-136000,8584364
2026-02-03,6794024,14473,6000,6814497
2026-02-04,4620666,201000,70000,4891666
2026-02-05,2437504,-133277,-234000,2070227
2026-02-06,-1951958,448000,-138000,-1641958
2026-02-09,12910855,-828000,74000,12156855
2026-02-10,7912240,-736070,130000,7306170
2026-02-11,17379783,-1080000,611027,16910810
2026-02-23,6965474,-6838778,-7000,119696
2026-02-24,-3257898,-3402062,194000,-6465960
2026-02-25,-4011422,-6304443,208933,-10106932
2026-02-26,9422914,2149577,-102000,11470491
2026-03-02,-5604656,1665711,-4219,-3943164
2026-03-03,2907312,447834,-137630,3217516
2026-03-04,-13030332,4307537,-823440,-9546235
2026-03-05,-7958736,7393822,-223010,-787924
2026-03-06,-2679756,2770815,0,91059
2026-03-09,-5098647,5791966,-1178442,-485123
2026-03-10,-3486144,650077,-32000,-2868067
2026-03-11,-989284,396854,47000,-545430
2026-03-12,-4082865,283604,-165000,-3964261
2026-03-13,-9479471,6584816,-216000,-3110655
2026-03-16,-2312219,6468906,-142000,4014687
2026-03-17,-45878,3134600,184000,3272722
2026-03-18,3614312,-903248,48000,2759064
2026-03-19,-12705053,5175783,26736,-7502534
2026-03-20,-105300,5824737,-126842,5592595
2026-03-23,-6985849,9964633,-389000,2589784
2026-03-24,-7125525,4522000,81191,-2522334
2026-03-25,1087798,739000,297000,2123798
2026-03-26,-5129178,1823923,3000,-3302255
2026-03-27,-11746684,2613000,-19159,-9152843
