date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,3478630,103660,16004,3598294
2026-01-29,1918982,180550,-95618,2003914
2026-01-30,-2101590,-1265852,-253000,-3620442
2026-02-02,586735,1237411,-102350,1721796
2026-02-03,955986,266916,41000,1263902
2026-02-04,1875291,107983,-15996,1967278
2026-02-05,-10491740,-1854269,411124,-11934885
2026-02-06,15656623,857836,-135215,16379244
2026-02-09,7174852,921866,-132000,7964718
2026-02-10,4498042,-231000,-111000,4156042
2026-02-11,3876334,352000,156808,4385142
2026-02-23,-5076511,664599,-117275,-4529187
2026-02-24,6174377,941832,163292,7279501
2026-02-25,3411642,822560,-344527,3889675
2026-02-26,7760521,-4717278,-716184,2327059
2026-03-02,-6128078,489280,159310,-5479488
2026-03-03,8077925,-1446720,200362,6831567
2026-03-04,1048734,-886388,280741,443087
2026-03-05,-261147,4677110,-293480,4122483
2026-03-06,-1970880,563000,73994,-1333886
2026-03-09,-578708,821007,-57890,184409
2026-03-10,-4025458,3448728,-100425,-677155
2026-03-11,-4572004,-108000,118459,-4561545
2026-03-12,-4332574,-74000,-6002,-4412576
2026-03-13,536361,213113,-58250,691224
2026-03-16,-3323401,339024,-34048,-3018425
2026-03-17,81101,59000,43702,183803
2026-03-18,-3735146,307728,404123,-3023295
2026-03-19,-5528842,-218000,-141507,-5888349
2026-03-20,-3002127,-973773,-104000,-4079900
2026-03-23,-914233,-99324,-246000,-1259557
2026-03-24,1788018,52757,39200,1879975
2026-03-25,2675055,959670,110000,3744725
2026-03-26,2291908,-314356,92000,2069552
2026-03-27,-3893473,65995,41000,-3786478
