date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,-1096525,-399652,122000,-1374177
2026-01-29,-596913,-631880,20000,-1208793
2026-01-30,-815324,-447940,24000,-1239264
2026-02-02,-2460240,220226,-6000,-2246014
2026-02-03,-1097656,59556,11000,-1027100
2026-02-04,-1424811,-42360,30000,-1437171
2026-02-05,48555,116000,-2000,162555
2026-02-06,34327,84120,-21000,97447
2026-02-09,-939709,-359000,19000,-1279709
2026-02-10,1406459,-70000,221992,1558451
2026-02-11,1068400,-157000,181000,1092400
2026-02-23,4498928,-980000,122000,3640928
2026-02-24,3842385,-1248944,38000,2631441
2026-02-25,2945302,-1738880,1000,1207422
2026-02-26,290113,-1399015,14000,-1094902
2026-03-02,6229164,69060,57005,6355229
2026-03-03,4352426,89060,-18000,4423486
2026-03-04,1245073,-16000,-254000,975073
2026-03-05,-1090072,-1292760,-53414,-2436246
2026-03-06,44211,42000,0,86211
2026-03-09,4231262,177373,-220000,4188635
2026-03-10,-264041,77313,20000,-166728
2026-03-11,-2796660,2000,1000,-2793660
2026-03-12,-479404,-1345000,-54000,-1878404
2026-03-13,-888601,-15000,-57000,-960601
2026-03-16,2977409,-331988,-27000,2618421
2026-03-17,5169984,-118000,28000,5079984
2026-03-18,6881304,-1282686,2000,5600618
2026-03-19,1550405,-313000,40000,1277405
2026-03-20,1407436,-507668,-25000,874768
2026-03-23,3509171,61771,-90000,3480942
2026-03-24,2991514,19000,1000,3011514
2026-03-25,3035222,-1277574,71000,1828648
2026-03-26,1090462,-22527,24000,1091935
2026-03-27,2250566,-91830,2000,2160736
