date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,7131061,-62250,-27000,7041811
2026-01-29,-2740093,-2750,-54000,-2796843
2026-01-30,-5148997,95130,-59000,-5112867
2026-02-02,-969332,-2422348,33512,-3358168
2026-02-03,5563408,231710,62000,5857118
2026-02-04,5124158,404380,-18000,5510538
2026-02-05,-8943713,-141240,-64000,-9148953
2026-02-06,-1526221,245862,-43030,-1323389
2026-02-09,11138026,-4000,-6000,11128026
2026-02-10,15698367,1461000,-39790,17119577
2026-02-11,8255905,180000,108000,8543905
2026-02-23,4672393,65000,192000,4929393
2026-02-24,8655201,-84718,123715,8694198
2026-02-25,1748484,141260,-16500,1873244
2026-02-26,-38118214,-3519965,-89238,-41727417
2026-03-02,-5876245,-184870,-96069,-6157184
2026-03-03,-3670705,-1831870,-25240,-5527815
2026-03-04,-4084341,-242103,-146929,-4473373
2026-03-05,276626,-58500,33665,251791
2026-03-06,-2636883,-165000,83085,-2718798
2026-03-09,-3792087,1429561,-174123,-2536649
2026-03-10,-3114664,60431,-179231,-3233464
2026-03-11,-3781907,17000,-69723,-3834630
2026-03-12,-2776598,35000,-134165,-2875763
2026-03-13,942237,33000,-228754,746483
2026-03-16,-3086268,-316987,-53000,-3456255
2026-03-17,4771305,-240000,200000,4731305
2026-03-18,-795694,1097431,108664,410401
2026-03-19,-3835912,-7000,-58887,-3901799
2026-03-20,543202,-1002336,-87334,-546468
2026-03-23,-2137762,-91808,-118850,-2348420
2026-03-24,848644,-1045000,60480,-135876
2026-03-25,5462592,-1699992,112842,3875442
2026-03-26,6227378,-214956,60455,6072877
2026-03-27,424756,3370,80330,508456
