date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,3783144,-341010,-425633,3016501
2026-01-29,-3345588,3797745,-869408,-417251
2026-01-30,-856454,2552001,163168,1858715
2026-02-02,-12025327,5189000,53879,-6782448
2026-02-03,-1416274,4751000,-953045,2381681
2026-02-04,-10894673,4586000,229536,-6079137
2026-02-05,-15966029,2163000,-61687,-13864716
2026-02-06,1378872,1620941,-731435,2268378
2026-02-09,-11238142,2187000,393710,-8657432
2026-02-10,5898093,3378000,152786,9428879
2026-02-11,-6789105,965000,-243704,-6067809
2026-02-23,7883165,2858000,-198803,10542362
2026-02-24,-19777648,3773000,350000,-15654648
2026-02-25,857591,2853000,-72378,3638213
2026-02-26,1057675,4167853,-261050,4964478
2026-03-02,-3486509,-114894,10016,-3591387
2026-03-03,2835857,-147000,-480597,2208260
2026-03-04,-3564762,-898000,289362,-4173400
2026-03-05,1513224,708000,-1110500,1110724
2026-03-06,-4619665,-124000,303750,-4439915
2026-03-09,-1055922,-619000,-504800,-2179722
2026-03-10,2267978,-14000,-638478,1615500
2026-03-11,1805941,322000,232000,2359941
2026-03-12,4701217,-55000,-214002,4432215
2026-03-13,4854584,-35000,40594,4860178
2026-03-16,3226677,-59989,-34000,3132688
2026-03-17,-1513214,285000,-183848,-1412062
2026-03-18,6762083,1352000,158754,8272837
2026-03-19,2109668,-118000,560088,2551756
2026-03-20,-121754,-183731,-374886,-680371
2026-03-23,-244547,-225000,-590946,-1060493
2026-03-24,1991706,-1465399,124336,650643
2026-03-25,2309685,-43900,-364882,1900903
2026-03-26,832364,-491923,144999,485440
2026-03-27,-1314394,174286,438895,-701213
