date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,-575372,-295069,25000,-845441
2026-01-29,-665387,-259869,-4000,-929256
2026-01-30,-896586,-273522,1500,-1168608
2026-02-02,-700873,-93846,-2942,-797661
2026-02-03,-365644,-45558,-3000,-414202
2026-02-04,-277693,-61800,-16000,-355493
2026-02-05,-198723,-26896,-2000,-227619
2026-02-06,-671021,208,-43005,-713818
2026-02-09,-225119,-232000,-6312,-463431
2026-02-10,-295328,-14934,5000,-305262
2026-02-11,51086,-209000,27000,-130914
2026-02-23,199700,-358174,-14000,-172474
2026-02-24,-353164,-217205,63000,-507369
2026-02-25,296125,-767892,0,-471767
2026-02-26,101997,-812826,-20,-710849
2026-03-02,-918929,-195069,-1434,-1115432
2026-03-03,-1404325,-62647,324994,-1141978
2026-03-04,-755591,-95242,-44000,-894833
2026-03-05,-788645,-1652,157000,-633297
2026-03-06,-140610,-20055,0,-160665
2026-03-09,-663547,52000,-56000,-667547
2026-03-10,-584198,1865,6899,-575434
2026-03-11,-1215147,-61472,1000,-1275619
2026-03-12,-1794012,-349141,-70000,-2213153
2026-03-13,-2058538,397563,5000,-1655975
2026-03-16,-263689,-30733,10000,-284422
2026-03-17,-654217,-42436,-37000,-733653
2026-03-18,-816870,-388000,-61000,-1265870
2026-03-19,-657315,-166000,976,-822339
2026-03-20,-1274586,-136450,3000,-1408036
2026-03-23,-1211162,13000,-10110,-1208272
2026-03-24,420266,-63000,24000,381266
2026-03-25,-1379157,-15658,15000,-1379815
2026-03-26,14235,-14291,9000,8944
2026-03-27,343080,-4460,-62000,276620
