date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,7360720,-1058818,0,6301902
2026-01-29,1964052,-1377249,0,586803
2026-01-30,-5349321,-690897,-10500,-6050718
2026-02-02,-2598305,-149800,-23000,-2771105
2026-02-03,464833,-235341,2000,231492
2026-02-04,1699963,-342800,11000,1368163
2026-02-05,1810495,-517072,-90000,1203423
2026-02-06,520047,48702,-14000,554749
2026-02-09,587362,-270100,7000,324262
2026-02-10,632017,-1183067,42000,-509050
2026-02-11,2404366,-1583000,76000,897366
2026-02-23,11198055,-6058239,4000,5143816
2026-02-24,4793231,-1661567,-69000,3062664
2026-02-25,10164013,-2478688,207000,7892325
2026-02-26,13360551,-3976075,-79000,9305476
2026-03-02,12883441,-202246,-142000,12539195
2026-03-03,1369832,-62049,49227,1357010
2026-03-04,695362,3543207,-365000,3873569
2026-03-05,5105371,242552,-9000,5338923
2026-03-06,1925841,189900,-21983,2093758
2026-03-09,-5059233,2185793,-688497,-3561937
2026-03-10,254076,-1814759,29000,-1531683
2026-03-11,10695278,-41137,18000,10672141
2026-03-12,2264648,-28585,-78000,2158063
2026-03-13,-3622709,55205,-20000,-3587504
2026-03-16,24847733,-32294,-43003,24772436
2026-03-17,-2455978,1532133,176000,-747845
2026-03-18,2473535,115677,362000,2951212
2026-03-19,5441192,-392000,50700,5099892
2026-03-20,-3168785,772990,0,-2395795
2026-03-23,-4119674,2819968,-59026,-1358732
2026-03-24,-1076291,481000,13000,-582291
2026-03-25,-141208,-216900,40300,-317808
2026-03-26,-349134,139000,111000,-99134
2026-03-27,-2476964,482000,123000,-1871964
