date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,216168,-402924,-8249,-195005
2026-01-29,-563121,-175925,5101,-733945
2026-01-30,-1415299,3596,-16846,-1428549
2026-02-02,-904144,39043,-7000,-872101
2026-02-03,-18170,69711,-4000,47541
2026-02-04,-1638531,-7066,1800,-1643797
2026-02-05,-1075776,55189,9018,-1011569
2026-02-06,59745,70742,-10838,119649
2026-02-09,1076367,-34133,-39344,1002890
2026-02-10,915411,-14962,-18000,882449
2026-02-11,123986,-57000,22857,89843
2026-02-23,187462,-162211,-11461,13790
2026-02-24,1123872,17340,10771,1151983
2026-02-25,353253,-224496,2300,131057
2026-02-26,1539442,-513282,-2000,1024160
2026-03-02,-359280,-119269,4000,-474549
2026-03-03,-937039,-56839,-7700,-1001578
2026-03-04,-55633,-5812,-31200,-92645
2026-03-05,-372235,55159,25400,-291676
2026-03-06,127412,-17842,-30900,78670
2026-03-09,701105,127128,-88838,739395
2026-03-10,557488,-36247,8200,529441
2026-03-11,405124,-45925,9579,368778
2026-03-12,547466,-120850,-12999,413617
2026-03-13,180929,-2850,16000,194079
2026-03-16,-1253228,-65959,7003,-1312184
2026-03-17,1169838,-27963,8000,1149875
2026-03-18,566226,-97872,58142,526496
2026-03-19,18578,-414000,-6621,-402043
2026-03-20,15488044,-13507896,105743,2085891
2026-03-23,-779442,7768,23929,-747745
2026-03-24,-456899,-13160,-1979,-472038
2026-03-25,278723,-28205,13533,264051
2026-03-26,3232592,-11114,-13500,3207978
2026-03-27,2849277,-32898,14097,2830476
