date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,-72507,-216119,16000,-272626
2026-01-29,334982,-194289,-2000,138693
2026-01-30,-1844980,-177651,-7000,-2029631
2026-02-02,-657750,31368,51000,-575382
2026-02-03,48243,23710,0,71953
2026-02-04,-142174,-11810,8000,-145984
2026-02-05,116430,33422,-11000,138852
2026-02-06,458919,31125,-7000,483044
2026-02-09,-1286043,-9000,3000,-1292043
2026-02-10,1006600,-7689,14169,1013080
2026-02-11,-543529,-19000,36000,-526529
2026-02-23,-1497364,-12047,60002,-1449409
2026-02-24,-316806,41960,-2637,-277483
2026-02-25,747130,-526864,-51415,168851
2026-02-26,-355339,40817,-89729,-404251
2026-03-02,-576194,62643,26800,-486751
2026-03-03,-1397783,41139,-45445,-1402089
2026-03-04,-1643007,281998,-4392,-1365401
2026-03-05,468982,187378,-5600,650760
2026-03-06,520164,31397,-51800,499761
2026-03-09,67085,271693,-84901,253877
2026-03-10,325312,16151,10000,351463
2026-03-11,2310841,60622,-434267,1937196
2026-03-12,-844608,134046,-5359,-715921
2026-03-13,-1319435,113,-1421,-1320743
2026-03-16,-480606,521122,20000,60516
2026-03-17,-43322,750718,2100,709496
2026-03-18,95286,559,14880,110725
2026-03-19,-169183,-6395,-10078,-185656
2026-03-20,-448878,515416,-12624,53914
2026-03-23,-1041133,936407,-12548,-117274
2026-03-24,-316748,198806,-11000,-128942
2026-03-25,-1208562,200751,16889,-990922
2026-03-26,1061830,-3612,29670,1087888
2026-03-27,-37708,282553,8000,252845
