date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,-490014,-5203,101535,-393682
2026-01-29,268024,-3155,15000,279869
2026-01-30,-242507,20689,-34641,-256459
2026-02-02,-659273,-1000,60235,-600038
2026-02-03,-149156,-11750,1000,-159906
2026-02-04,41818,-2000,4630,44448
2026-02-05,117716,-5203,-3351,109162
2026-02-06,-351391,0,-6924,-358315
2026-02-09,-700935,0,28547,-672388
2026-02-10,180800,-7358,12800,186242
2026-02-11,-249901,-1000,49894,-201007
2026-02-23,156126,-9407,963,147682
2026-02-24,-240220,-6358,11135,-235443
2026-02-25,393417,-10563,-280914,101940
2026-02-26,-716714,-12961,8166,-721509
2026-03-02,-883373,146849,16200,-720324
2026-03-03,-498628,15845,-6192,-488975
2026-03-04,520792,-14619,-55589,450584
2026-03-05,596919,-2154,-23235,571530
2026-03-06,-2556781,0,17902,-2538879
2026-03-09,-105909,-2154,-173790,-281853
2026-03-10,-688834,-4000,-12430,-705264
2026-03-11,-1313889,-48026,2998,-1358917
2026-03-12,-1642820,-8180,-7248,-1658248
2026-03-13,-2417805,-6307,49291,-2374821
2026-03-16,-693948,-43000,-1157,-738105
2026-03-17,-991240,-4261,37712,-957789
2026-03-18,-270628,851,-26696,-296473
2026-03-19,-2102095,0,45558,-2056537
2026-03-20,482604,420,-51512,431512
2026-03-23,-583556,-4130,11998,-575688
2026-03-24,423338,0,7342,430680
2026-03-25,13189,0,22984,36173
2026-03-26,-183153,0,14287,-168866
2026-03-27,59350,0,9518,68868
