date,main_net
2025-12-24,-61831321.0
2025-12-25,52446142.0
2025-12-26,-186241548.0
2025-12-29,-228217216.0
2025-12-30,-44657200.0
2025-12-31,-130094239.0
2026-01-05,106778526.0
2026-01-06,64979349.0
2026-01-07,-13242082.0
2026-01-08,-35018142.0
2026-01-09,58306668.0
2026-01-12,85615350.0
2026-01-13,-46663736.0
2026-01-14,-144859175.0
2026-01-15,-89390384.0
2026-01-16,-90428925.0
2026-01-19,-92497557.0
2026-01-20,170589539.0
2026-01-21,-85438571.0
2026-01-22,-2176515.0
2026-01-23,-68207664.0
2026-01-26,-128038596.0
2026-01-27,-13411919.0
2026-01-28,107426349.0
2026-01-29,852925664.0
2026-01-30,-28032576.0
2026-02-02,156491456.0
2026-02-03,-99039108.0
2026-02-04,248595072.0
2026-02-05,-172254214.0
2026-02-06,-127975192.0
2026-02-09,-234292576.0
2026-02-10,-198826128.0
2026-02-11,-85481098.0
2026-02-12,-143764417.0
2026-02-13,-11243188.0
2026-02-24,-250569698.0
2026-02-25,10239354.0
2026-02-26,-87006083.0
2026-02-27,-54992718.0
2026-03-02,-107266580.0
2026-03-03,29825465.0
2026-03-04,-76476791.0
2026-03-05,-69502941.0
2026-03-06,36642612.0
2026-03-09,-51766839.0
2026-03-10,-24417915.0
2026-03-11,49644682.0
2026-03-12,-49379416.0
2026-03-13,108520047.0
2026-03-16,16747035.0
2026-03-17,-50023156.0
2026-03-18,-46261257.0
2026-03-19,-57495269.0
2026-03-20,-6205193.0
2026-03-23,-128673606.0
2026-03-24,-21221385.0
2026-03-25,-40524805.0
2026-03-26,-91378272.0
2026-03-27,73527965.0
