date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,-164028,110000,400,-53628
2026-01-29,-2140028,583100,20000,-1536928
2026-01-30,-1297278,448000,4000,-845278
2026-02-02,-997835,61000,-10000,-946835
2026-02-03,-691529,23312,81000,-587217
2026-02-04,-347530,16000,15000,-316530
2026-02-05,43732,21636,-1000,64368
2026-02-06,-260876,83625,0,-177251
2026-02-09,-332151,-2000,8000,-326151
2026-02-10,284407,-2000,8300,290707
2026-02-11,823618,30000,25000,878618
2026-02-23,803210,65000,-5000,863210
2026-02-24,740745,39000,5000,784745
2026-02-25,375343,236000,-9600,601743
2026-02-26,414497,84166,-3000,495663
2026-03-02,818891,68000,21000,907891
2026-03-03,-570341,41000,-1000,-530341
2026-03-04,2657,44000,-73000,-26343
2026-03-05,2308104,37000,-36705,2308399
2026-03-06,5383746,35000,500,5419246
2026-03-09,551610,54102,-124000,481712
2026-03-10,-812303,12102,-9700,-809901
2026-03-11,-75366,1000,-5000,-79366
2026-03-12,54343,13000,-28000,39343
2026-03-13,235797,9000,-19000,225797
2026-03-16,76109,-12998,-7000,56111
2026-03-17,379007,61000,12000,452007
2026-03-18,-19249,3102,26000,9853
2026-03-19,-131810,1000,8000,-122810
2026-03-20,786078,-99525,0,686553
2026-03-23,289553,18750,-22000,286303
2026-03-24,192472,4787,1000,198259
2026-03-25,253753,727,23000,277480
2026-03-26,244291,-1264,9000,252027
2026-03-27,-262893,6273,2000,-254620
