date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,3650773,-5432,-55000,3590341
2026-01-29,828032,2527568,45958,3401558
2026-01-30,2467016,2528134,-265293,4729857
2026-02-02,-119500,-109000,-5000,-233500
2026-02-03,460900,-7432,28000,481468
2026-02-04,1403066,-2006000,23000,-579934
2026-02-05,538520,-7431,-33014,498075
2026-02-06,-726500,0,-29047,-755547
2026-02-09,3136523,0,-12000,3124523
2026-02-10,-1353000,-11864,131988,-1232876
2026-02-11,2128785,-3000,358000,2483785
2026-02-23,5438617,-20868,-70000,5347749
2026-02-24,2009043,-10864,97165,2095344
2026-02-25,5532818,-34302,164206,5662722
2026-02-26,-1281391,1598566,159654,476829
2026-03-02,-7934949,-2310302,69008,-10176243
2026-03-03,-5928657,-2439432,176568,-8191521
2026-03-04,-8248187,149276,-683329,-8782240
2026-03-05,-9083566,141570,-93716,-9035712
2026-03-06,17622181,108000,110323,17840504
2026-03-09,-3016411,-5428,-51202,-3073041
2026-03-10,-5203053,177264,477609,-4548180
2026-03-11,-10449867,2000,-103615,-10551482
2026-03-12,-15292856,-213429,347396,-15158889
2026-03-13,-11658485,19145,-1149167,-12788507
2026-03-16,-688062,-34000,-33736,-755798
2026-03-17,-1435434,-73744,-184307,-1693485
2026-03-18,1461400,-2087,283000,1742313
2026-03-19,-5687349,57000,325266,-5305083
2026-03-20,-1545934,-532849,-72009,-2150792
2026-03-23,-7616581,50630,-407127,-7973078
2026-03-24,5174695,22000,-93215,5103480
2026-03-25,2219496,10000,291000,2520496
2026-03-26,5462787,0,91000,5553787
2026-03-27,630271,13000,-15000,628271
