date,main_net
2025-12-10,-14336167.0
2025-12-11,-161277382.0
2025-12-12,-26883424.0
2025-12-15,-159666829.0
2025-12-16,-185153926.0
2025-12-17,18285139.0
2025-12-18,184126310.0
2025-12-19,-56130834.0
2025-12-22,45347137.0
2025-12-23,-64199715.0
2025-12-24,101676691.0
2025-12-25,101066395.0
2025-12-26,60673536.0
2025-12-29,-275544406.0
2026-01-15,125649432.0
2026-01-16,-607353504.0
2026-01-19,-28217904.0
2026-01-20,-310079248.0
2026-01-21,621764976.0
2026-01-22,-353921968.0
2026-01-23,313055376.0
2026-01-26,-467520512.0
2026-01-27,-43902112.0
2026-01-28,46890896.0
2026-01-29,-386443984.0
2026-01-30,-81804032.0
2026-02-02,-358171952.0
2026-02-03,21089974.0
2026-02-04,-318074376.0
2026-02-05,-94301950.0
2026-02-06,-32782736.0
2026-02-09,31696051.0
2026-02-10,-12478553.0
2026-02-11,-121767191.0
2026-02-12,127747345.0
2026-02-13,-102520352.0
2026-02-24,47632439.0
2026-02-25,-81591417.0
2026-02-26,74782629.0
2026-02-27,-53567452.0
2026-03-02,103515341.0
2026-03-03,-376180832.0
2026-03-04,-129983410.0
2026-03-05,-71369737.0
2026-03-06,-35005012.0
2026-03-09,-142017286.0
2026-03-10,-10544256.0
2026-03-11,-9390487.0
2026-03-12,-86653053.0
2026-03-13,-111627333.0
2026-03-16,-34158586.0
2026-03-17,-162456258.0
2026-03-18,152827765.0
2026-03-19,-160799278.0
2026-03-20,-143289299.0
2026-03-23,-172923521.0
2026-03-24,-40315227.0
2026-03-25,42567228.0
2026-03-26,-73779209.0
2026-03-27,46645753.0
