date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,-2664988,-1098539,18000,-3745527
2026-01-29,102871,-676539,13000,-560668
2026-01-30,-3480430,-423079,110000,-3793509
2026-02-02,-841925,42000,-63000,-862925
2026-02-03,413414,-54539,-9000,349875
2026-02-04,-1903643,-577000,32000,-2448643
2026-02-05,2633705,-246539,-2000,2385166
2026-02-06,1832492,191000,-72000,1951492
2026-02-09,-2057224,-618000,22000,-2653224
2026-02-10,1267174,-164078,95000,1198096
2026-02-11,2896167,-789000,158000,2265167
2026-02-23,10489770,-1948081,-29000,8512689
2026-02-24,3936234,-3034079,-2109000,-1206845
2026-02-25,5822851,-3112621,-130000,2580230
2026-02-26,-10404749,-917583,-933000,-12255332
2026-03-02,4842803,-270621,1000,4573182
2026-03-03,3557350,-321539,-30000,3205811
2026-03-04,-3867108,63846,-324000,-4127262
2026-03-05,-5339081,81462,35000,-5222619
2026-03-06,-3262767,2682000,42000,-538767
2026-03-09,-2602984,342555,-433000,-2693429
2026-03-10,-5574968,105092,162000,-5307876
2026-03-11,-1339115,-85000,-225000,-1649115
2026-03-12,37161,-1615537,-231000,-1809376
2026-03-13,-3079097,-75072,-26000,-3180169
2026-03-16,-2094058,-961966,-3000,-3059024
2026-03-17,-2738318,-1385999,54000,-4070317
2026-03-18,-2305711,-1560393,130000,-3736104
2026-03-19,-5716652,-1187000,135000,-6768652
2026-03-20,-4937165,-815818,18000,-5734983
2026-03-23,-6694235,323502,17000,-6353733
2026-03-24,-1134376,56000,3000,-1075376
2026-03-25,2306187,-2064000,-173000,69187
2026-03-26,2080470,-27000,56020,2109490
2026-03-27,3796346,-76000,2000,3722346
