date,main_net
2025-12-24,695285344.0
2025-12-25,-289593712.0
2025-12-26,-338055296.0
2025-12-29,-772147872.0
2025-12-30,-322935584.0
2025-12-31,435039216.0
2026-01-05,-12543616.0
2026-01-06,546861264.0
2026-01-07,-521073056.0
2026-01-08,619192816.0
2026-01-09,-5118256.0
2026-01-12,429262816.0
2026-01-13,-1164338016.0
2026-01-14,-255885344.0
2026-01-15,-665287488.0
2026-01-16,84499328.0
2026-01-19,-239895984.0
2026-01-20,-882428176.0
2026-01-21,441026528.0
2026-01-22,17150304.0
2026-01-23,335498096.0
2026-01-26,-625151376.0
2026-01-27,483213072.0
2026-01-28,-175000080.0
2026-01-29,-70284624.0
2026-01-30,-776884016.0
2026-02-02,-666211648.0
2026-02-03,-424404432.0
2026-02-04,-422107776.0
2026-02-05,-146978400.0
2026-02-06,-239233904.0
2026-02-09,272952496.0
2026-02-10,100707600.0
2026-02-11,-160999648.0
2026-02-12,58958000.0
2026-02-13,-132014416.0
2026-02-24,133142800.0
2026-02-25,-44657760.0
2026-02-26,232894480.0
2026-02-27,22517088.0
2026-03-02,-509487472.0
2026-03-03,-570804800.0
2026-03-04,51035328.0
2026-03-05,257544416.0
2026-03-06,-226174384.0
2026-03-09,-604169424.0
2026-03-10,213348848.0
2026-03-11,-11468608.0
2026-03-12,-55934080.0
2026-03-13,-439225040.0
2026-03-16,-203350992.0
2026-03-17,-353058212.0
2026-03-18,69933104.0
2026-03-19,-418182446.0
2026-03-20,-477397264.0
2026-03-23,-762222320.0
2026-03-24,-38067696.0
2026-03-25,-26499616.0
2026-03-26,-297273945.0
2026-03-27,-65435453.0
