date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,11647628,1861000,666134,14174762
2026-01-29,-2940238,9298000,-1603869,4753893
2026-01-30,-5530275,7219000,742989,2431714
2026-02-02,-1438867,483000,-430723,-1386590
2026-02-03,-947548,0,-51026,-998574
2026-02-04,2166316,-17000,67138,2216454
2026-02-05,-4898738,0,-383149,-5281887
2026-02-06,-10693801,155000,-241691,-10780492
2026-02-09,6806333,438000,260674,7505007
2026-02-10,-12123590,0,-231926,-12355516
2026-02-11,8429917,0,250065,8679982
2026-02-23,4810651,-18000,281488,5074139
2026-02-24,6051128,-1880000,436810,4607938
2026-02-25,17732927,-17000,1068143,18784070
2026-02-26,18439192,-5747029,666163,13358326
2026-03-02,-30749443,-1421000,-401288,-32571731
2026-03-03,-1246670,-1239000,-73476,-2559146
2026-03-04,-448679,1000,-1909809,-2357488
2026-03-05,-6512312,-1200000,-260715,-7973027
2026-03-06,-4517211,0,82469,-4434742
2026-03-09,-17077078,-2383000,-1219421,-20679499
2026-03-10,8293491,0,91834,8385325
2026-03-11,-5155896,-1000000,175409,-5980487
2026-03-12,-5727799,-700000,31465,-6396334
2026-03-13,-1089793,16000,-426803,-1500596
2026-03-16,-9332793,14022024,-57604,4631627
2026-03-17,-6314912,-800000,341310,-6773602
2026-03-18,11263981,207000,121269,11592250
2026-03-19,-7451724,0,1037802,-6413922
2026-03-20,-13429353,-1044804,-395504,-14869661
2026-03-23,-7102099,1000,-602258,-7703357
2026-03-24,2708706,0,-5930,2702776
2026-03-25,616424,0,190001,806425
2026-03-26,17950911,0,496000,18446911
2026-03-27,-6983594,-420000,-111188,-7514782
