date,main_net
2025-12-24,-60113192.0
2025-12-25,19953544.0
2025-12-26,67843583.0
2025-12-29,31197007.0
2025-12-30,257320290.0
2025-12-31,21802443.0
2026-01-05,-2672640.0
2026-01-06,151191424.0
2026-01-07,135385012.0
2026-01-08,-63280694.0
2026-01-09,88855840.0
2026-01-12,116739280.0
2026-01-13,-131528950.0
2026-01-14,-16435719.0
2026-01-15,144078718.0
2026-01-16,224986928.0
2026-01-19,179110344.0
2026-01-20,210024882.0
2026-01-21,160586635.0
2026-01-22,205248065.0
2026-01-23,284049520.0
2026-01-26,184058932.0
2026-01-27,-8090987.0
2026-01-28,-2596847.0
2026-01-29,-46627069.0
2026-01-30,-52352630.0
2026-02-02,2671058.0
2026-02-03,675329040.0
2026-02-04,-7457286.0
2026-02-05,-96551037.0
2026-02-06,30645469.0
2026-02-09,47295897.0
2026-02-10,23626316.0
2026-02-11,80297488.0
2026-02-12,-51159981.0
2026-02-13,-74007908.0
2026-02-24,159692036.0
2026-02-25,48707161.0
2026-02-26,-114844994.0
2026-02-27,-62263527.0
2026-03-02,-58464182.0
2026-03-03,-247560047.0
2026-03-04,-122372442.0
2026-03-05,11526175.0
2026-03-06,126218974.0
2026-03-09,-7850211.0
2026-03-10,128524781.0
2026-03-11,235021925.0
2026-03-12,-103233648.0
2026-03-13,-657042.0
2026-03-16,-58265558.0
2026-03-17,161894864.0
2026-03-18,41543343.0
2026-03-19,-371177206.0
2026-03-20,-89125238.0
2026-03-23,-111813432.0
2026-03-24,150705339.0
2026-03-25,86225748.0
2026-03-26,-70072566.0
2026-03-27,-131039202.0
