date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,3526889,800000,1107763,5434652
2026-01-29,-2242926,-62000,-1317164,-3622090
2026-01-30,-6562762,-22000,-247392,-6832154
2026-02-02,-13630760,-10000,-232914,-13873674
2026-02-03,-2453947,-6000,-89802,-2549749
2026-02-04,2085255,0,266934,2352189
2026-02-05,3323276,-5000,-459497,2858779
2026-02-06,-2855166,0,-492861,-3348027
2026-02-09,1473442,0,67668,1541110
2026-02-10,-9293970,0,83540,-9210430
2026-02-11,9739529,-11000,536333,10264862
2026-02-23,1006714,-14000,87925,1080639
2026-02-24,11566080,0,386712,11952792
2026-02-25,35897567,0,1167410,37064977
2026-02-26,-3509574,-91035,32942,-3567667
2026-03-02,-8043028,2700000,-464557,-5807585
2026-03-03,579381,0,-110923,468458
2026-03-04,-5168244,0,-1319008,-6487252
2026-03-05,-6079568,0,-146791,-6226359
2026-03-06,3528912,4000,426038,3958950
2026-03-09,-32821595,11930,-1265707,-34075372
2026-03-10,-3646719,-2694069,290038,-6050750
2026-03-11,230134,5000,-44603,190531
2026-03-12,-10171046,-90000,-431551,-10692597
2026-03-13,-3320706,-32000,-404809,-3757515
2026-03-16,4898781,1001026,71146,5970953
2026-03-17,-570779,-222000,314799,-477980
2026-03-18,5198807,10931,582671,5792409
2026-03-19,-3067548,100000,985670,-1981878
2026-03-20,-9461027,-169479,-339721,-9970227
2026-03-23,-18932598,0,-499756,-19432354
2026-03-24,-896143,3000,-72694,-965837
2026-03-25,2642357,10000,261113,2913470
2026-03-26,16272930,0,339690,16612620
2026-03-27,-5389706,1106000,-98611,-4382317
