date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,1200654,-511577,-210000,479077
2026-01-29,16061062,-7223409,734000,9571653
2026-01-30,-3205992,-6522355,102000,-9626347
2026-02-02,322121,-911442,-195000,-784321
2026-02-03,1062840,-292051,-912000,-141211
2026-02-04,-177223,734000,111000,667777
2026-02-05,4745753,432428,-390998,4787183
2026-02-06,-4253274,648000,-127000,-3732274
2026-02-09,7326034,-1659000,225000,5892034
2026-02-10,-3095914,-2283374,128002,-5251286
2026-02-11,5583790,-1565000,633000,4651790
2026-02-23,19224222,-10578365,-994805,7651052
2026-02-24,-734257,-2803091,297000,-3240348
2026-02-25,10515847,-10754779,85000,-153932
2026-02-26,12329578,596883,-228000,12698461
2026-03-02,-25595958,2545623,-1072858,-24123193
2026-03-03,-1700130,-491772,-694000,-2885902
2026-03-04,-35042090,9965973,-832812,-25908929
2026-03-05,-9925342,2061208,-182009,-8046143
2026-03-06,-9697536,-1672802,-179,-11370517
2026-03-09,-6465664,9765915,-1631600,1668651
2026-03-10,-29583809,14318916,-64189,-15329082
2026-03-11,-7150405,-192503,-15328,-7358236
2026-03-12,-36733842,23151087,-311414,-13894169
2026-03-13,-10816752,5330788,-47000,-5532964
2026-03-16,3342234,-1678096,-53000,1611138
2026-03-17,3961251,-4402211,226000,-214960
2026-03-18,-4745289,4764834,-240000,-220455
2026-03-19,-20818392,5948000,-14225,-14884617
2026-03-20,-6105675,5549436,-79658,-635897
2026-03-23,-10542387,16833818,-494782,5796649
2026-03-24,-745269,5949000,128576,5332307
2026-03-25,3265339,1301000,364735,4931074
2026-03-26,241969,2831691,62000,3135660
2026-03-27,-4768300,4654000,-22000,-136300
