date,main_net
2025-12-24,-122739571.0
2025-12-25,-31808520.0
2025-12-26,-7320454.0
2025-12-29,-8864.0
2025-12-30,-21559904.0
2025-12-31,-27114405.0
2026-01-05,19686618.0
2026-01-06,-2956735.0
2026-01-07,-34952653.0
2026-01-08,22290627.0
2026-01-09,2058256.0
2026-01-12,28376902.0
2026-01-13,-50573598.0
2026-01-14,-72770211.0
2026-01-15,22876006.0
2026-01-16,-28627347.0
2026-01-19,2605427.0
2026-01-20,-8315594.0
2026-01-21,-4956549.0
2026-01-22,-63047525.0
2026-01-23,-121608721.0
2026-01-26,-69146483.0
2026-01-27,-54034269.0
2026-01-28,-85114642.0
2026-01-29,241629744.0
2026-01-30,-118109434.0
2026-02-02,-6263313.0
2026-02-03,-18677461.0
2026-02-04,70336130.0
2026-02-05,205259579.0
2026-02-06,-114752069.0
2026-02-09,-78207415.0
2026-02-10,-94584263.0
2026-02-11,47967307.0
2026-02-12,-38283914.0
2026-02-13,105944845.0
2026-02-24,-40691222.0
2026-02-25,-47141749.0
2026-02-26,-46790168.0
2026-02-27,-22879858.0
2026-03-02,-69562229.0
2026-03-03,-23122911.0
2026-03-04,-30339058.0
2026-03-05,-13991248.0
2026-03-06,11134471.0
2026-03-09,-29522326.0
2026-03-10,-15156727.0
2026-03-11,-9860909.0
2026-03-12,-17114368.0
2026-03-13,5086518.0
2026-03-16,25412154.0
2026-03-17,-18833269.0
2026-03-18,-24175455.0
2026-03-19,-10765254.0
2026-03-20,-5017984.0
2026-03-23,-87643936.0
2026-03-24,-17827881.0
2026-03-25,9792507.0
2026-03-26,-34399977.0
2026-03-27,350537.0
