date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,54647,-354229,20000,-279582
2026-01-29,657125,-317230,-14000,325895
2026-01-30,-900850,-442259,-3280,-1346389
2026-02-02,268627,216000,-7000,477627
2026-02-03,40814,235985,2000,278799
2026-02-04,-208012,-53700,3000,-258712
2026-02-05,-1093502,-179520,-17845,-1290867
2026-02-06,983421,280411,-4400,1259432
2026-02-09,1820288,459000,15997,2295285
2026-02-10,1070184,885041,50000,2005225
2026-02-11,665905,306500,-4737,967668
2026-02-23,-154500,105541,-72274,-121233
2026-02-24,197369,57741,25227,280337
2026-02-25,15486,4311,32100,51897
2026-02-26,-565304,-183573,-17785,-766662
2026-03-02,408592,5311,8999,422902
2026-03-03,-182335,17070,8551,-156714
2026-03-04,-430909,-215988,-59770,-706667
2026-03-05,596613,-62229,27083,561467
2026-03-06,19346,434000,129111,582457
2026-03-09,-784014,166881,12063,-605070
2026-03-10,-306930,111110,12854,-182966
2026-03-11,325723,77000,-21889,380834
2026-03-12,-66546,52771,50850,37075
2026-03-13,-2429982,-142459,293396,-2279045
2026-03-16,-768873,-252995,69540,-952328
2026-03-17,1075209,-210056,68503,933656
2026-03-18,547189,147174,64867,759230
2026-03-19,-126371,245702,106900,226231
2026-03-20,-345633,43648,102200,-199785
2026-03-23,-27392,114773,-7000,80381
2026-03-24,8298,206074,-103100,111272
2026-03-25,-392616,194147,62000,-136469
2026-03-26,865009,149147,63500,1077656
2026-03-27,-576860,54291,169900,-352669
