date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,-774190,-70924,-14000,-859114
2026-01-29,1162091,-441249,0,720842
2026-01-30,-676692,-391173,8000,-1059865
2026-02-02,-2752803,-70259,-32829,-2855891
2026-02-03,1052732,-41685,-1000,1010047
2026-02-04,44969,-73000,0,-28031
2026-02-05,1567264,-76934,-5000,1485330
2026-02-06,-666971,-105044,-37884,-809899
2026-02-09,440894,-45000,6000,401894
2026-02-10,1100252,-145258,-13000,941994
2026-02-11,3475848,-192000,87997,3371845
2026-02-23,4384289,-760176,4999,3629112
2026-02-24,-1738453,-252848,100000,-1891301
2026-02-25,-1242046,-680100,29981,-1892165
2026-02-26,-1546991,-515362,4000,-2058353
2026-03-02,-3111964,-190718,-33313,-3335995
2026-03-03,-2416477,-89599,-15000,-2521076
2026-03-04,-2665995,-346700,-105978,-3118673
2026-03-05,-2473424,-81598,-25000,-2580022
2026-03-06,-548398,-81000,-16001,-645399
2026-03-09,-1304307,6097,-215364,-1513574
2026-03-10,5191303,-158000,3000,5036303
2026-03-11,110809,-87000,-3000,20809
2026-03-12,-1737046,-41902,-34017,-1812965
2026-03-13,995969,4501,-26000,974470
2026-03-16,5526369,-519279,-27405,4979685
2026-03-17,441426,-95056,26000,372370
2026-03-18,3899593,-98475,51999,3853117
2026-03-19,73995,-99610,10000,-15615
2026-03-20,823854,-70665,-2000,751189
2026-03-23,619434,-2484,-66000,550950
2026-03-24,373561,2000,38000,413561
2026-03-25,2329520,-34000,42000,2337520
2026-03-26,4067650,-12000,2611,4058261
2026-03-27,10506458,-126000,-23302,10357156
