date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,-50970841,4610070,-919077,-47279848
2026-01-29,-26621861,3989851,-2154000,-24786010
2026-01-30,51899274,-26187921,-1647153,24064200
2026-02-02,7212361,-3806961,244003,3649403
2026-02-03,-8911399,2431961,-731000,-7210438
2026-02-04,15959656,2320900,70000,18350556
2026-02-05,9437540,1420662,320874,11179076
2026-02-06,8403513,2770246,-94332,11079427
2026-02-09,-9539019,-2413454,-852019,-12804492
2026-02-10,16988892,-396797,195747,16787842
2026-02-11,40320447,-3846400,84970,36559017
2026-02-23,9658190,-5705861,1077581,5029910
2026-02-24,64785703,-16111500,1740000,50414203
2026-02-25,-6412504,-7153865,-1933887,-15500256
2026-02-26,22588479,-25723919,-186827,-3322267
2026-03-02,21775496,-10180504,388296,11983288
2026-03-03,2698069,-535742,-239453,1922874
2026-03-04,-7603290,20053751,-1914779,10535682
2026-03-05,17426756,-606583,-982329,15837844
2026-03-06,2515783,1843166,-56408,4302541
2026-03-09,-11969472,6582714,-1306664,-6693422
2026-03-10,-638514,5915617,1917367,7194470
2026-03-11,20106517,-1233506,1475845,20348856
2026-03-12,-14363057,-2087833,-282292,-16733182
2026-03-13,-25324514,5116477,1655199,-18552838
2026-03-16,5296606,-1777325,4768945,8288226
2026-03-17,-3043371,1962006,399836,-681529
2026-03-18,10005669,1024498,145799,11175966
2026-03-19,-30504133,-1685059,-615051,-32804243
2026-03-20,4068757,-4386431,-222176,-539850
2026-03-23,-7196877,2623983,629592,-3943302
2026-03-24,-4206952,1216000,622,-2990330
2026-03-25,3400267,-479570,485000,3405697
2026-03-26,-3552434,-218794,-248000,-4019228
2026-03-27,-9054406,968587,921794,-7164025
