date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,7713579,663992,-2701,8374870
2026-01-29,-8629390,15131,-88294,-8702553
2026-01-30,-13718025,450218,17147,-13250660
2026-02-02,-9844931,2045378,-38099,-7837652
2026-02-03,-2923621,1082545,-94101,-1935177
2026-02-04,-9645276,840321,7400,-8797555
2026-02-05,-9668358,1235907,-199408,-8631859
2026-02-06,-6574449,962315,-581398,-6193532
2026-02-09,2919301,267241,-37080,3149462
2026-02-10,12633987,240642,-192920,12681709
2026-02-11,-4941461,1140830,946926,-2853705
2026-02-23,-17558676,2321667,299177,-14937832
2026-02-24,6887295,1486119,358400,8731814
2026-02-25,-4192269,2743762,94500,-1354007
2026-02-26,-18136994,1201636,79000,-16856358
2026-03-02,-19538793,2623969,104000,-16810824
2026-03-03,-21195454,1278971,-132099,-20048582
2026-03-04,-27354411,1466715,-1130299,-27017995
2026-03-05,-9755524,1493516,-666300,-8928308
2026-03-06,-10927204,946000,194200,-9787004
2026-03-09,-37836794,2661429,-2428318,-37603683
2026-03-10,-968908,522459,136353,-310096
2026-03-11,5027306,-36400,410000,5400906
2026-03-12,-19046122,282821,-54717,-18818018
2026-03-13,-12743122,-133279,-331300,-13207701
2026-03-16,-16174225,-801831,-55200,-17031256
2026-03-17,-230432,-492057,222001,-500488
2026-03-18,373457,-144429,279585,508613
2026-03-19,-22789968,-99637,12612,-22876993
2026-03-20,-6768881,-4028408,-271000,-11068289
2026-03-23,-15305536,1860884,-583000,-14027652
2026-03-24,-5178091,691001,296151,-4190939
2026-03-25,978668,265301,320000,1563969
2026-03-26,-5190747,547600,227900,-4415247
2026-03-27,-11135853,381460,197000,-10557393
