date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,-1897629,-526980,0,-2424609
2026-01-29,2042782,-458163,-61000,1523619
2026-01-30,-203766,-6326,0,-210092
2026-02-02,202425,-130000,-4000,68425
2026-02-03,123843,-112997,-6000,4846
2026-02-04,21314,-88000,6000,-60686
2026-02-05,1146716,22020,2000,1170736
2026-02-06,711827,22000,-10000,723827
2026-02-09,-143231,-289000,30000,-402231
2026-02-10,278641,-44142,-2000,232499
2026-02-11,218324,-98000,57000,177324
2026-02-23,140998,-579960,-1000,-439962
2026-02-24,254116,-1048142,20000,-774026
2026-02-25,1370644,-1127123,5000,248521
2026-02-26,-91808,-585016,60000,-616824
2026-03-02,-438836,-54329,26000,-467165
2026-03-03,941285,-150163,-6000,785122
2026-03-04,-41981,-6650,-29000,-77631
2026-03-05,-159850,-63162,-11000,-234012
2026-03-06,-553072,0,22000,-531072
2026-03-09,469427,69956,-74000,465383
2026-03-10,196036,-1882,49000,243154
2026-03-11,-697369,-1809,17000,-682178
2026-03-12,-501512,-328971,-24000,-854483
2026-03-13,153514,-7323,-28000,118191
2026-03-16,32061,-15993,-11000,5068
2026-03-17,619816,-30300,13000,602516
2026-03-18,-368700,-39836,25000,-383536
2026-03-19,-1424830,0,1000,-1423830
2026-03-20,13984995,-12385336,-16000,1583659
2026-03-23,872897,-14198,-20000,838699
2026-03-24,1242083,-1000,7000,1248083
2026-03-25,175274,-353000,26000,-151726
2026-03-26,1642468,-3000,7000,1646468
2026-03-27,1175054,-8000,0,1167054
