date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,23469008,607662,-1016890,23059780
2026-01-29,994738,-459339,-2731169,-2195770
2026-01-30,6806739,648322,-237293,7217768
2026-02-02,-671684,-435000,-429210,-1535894
2026-02-03,3906314,3249662,-513000,6642976
2026-02-04,1039943,2535000,735352,4310295
2026-02-05,-10839927,1238662,-165295,-9766560
2026-02-06,2385579,1066000,-274461,3177118
2026-02-09,24776196,-862000,789427,24703623
2026-02-10,-37680784,-108677,-176361,-37965822
2026-02-11,60938575,652000,511690,62102265
2026-02-23,18670727,4769320,971446,24411493
2026-02-24,30291870,-220677,3448283,33519476
2026-02-25,34962348,2740980,746357,38449685
2026-02-26,-6852450,-5210385,-1027079,-13089914
2026-03-02,1799677,-1418020,347772,729429
2026-03-03,-20631926,255661,-2543514,-22919779
2026-03-04,13531157,331649,-871341,12991465
2026-03-05,-26977489,7277663,-513376,-20213202
2026-03-06,-9680651,4022000,12512,-5646139
2026-03-09,-8723420,109757,-1248058,-9861721
2026-03-10,10464989,200093,4910,10669992
2026-03-11,-20220985,1959000,581705,-17680280
2026-03-12,-31856974,-330336,-1332582,-33519892
2026-03-13,27421195,5681331,1841371,34943897
2026-03-16,-7555002,19132037,-295406,11281629
2026-03-17,-25416163,339417,298107,-24778639
2026-03-18,-3082558,661820,238543,-2182195
2026-03-19,-6748695,67000,-319253,-7000948
2026-03-20,-23254412,-665637,-1232982,-25153031
2026-03-23,-1823694,-9590289,733804,-10680179
2026-03-24,10307385,-318000,184622,10174007
2026-03-25,8393561,779000,397122,9569683
2026-03-26,-6050889,-3169000,323989,-8895900
2026-03-27,2798042,-8985000,1669149,-4517809
